code2020,bachelorShare,collegeEnrollShare,students18_24,taxableIncomePerTaxpayerThousandYen,otherVacancyShare
01100,0.1612,,123526,3017.04,0.01685
01202,0.09449,,14593,2714.66,0.05608
01203,0.09796,,7137,2487.12,0.06849
01204,0.10428,,16170,2692.25,0.038
01205,0.09177,,5900,2866.87,0.06312
01206,0.084,,9475,2696.82,0.04913
01207,0.09645,,8293,2831.01,0.02744
01208,0.09247,,7026,2696.73,0.03258
01209,0.06378,,244,2058.34,0.08039
01210,0.10222,,5140,2667.01,0.05448
01211,0.09759,,2842,2905.64,0.05447
01212,0.08566,,732,2636.78,0.06005
01213,0.08408,,8140,2781.15,0.03384
01214,0.07032,,1528,2740.9,0.05347
01215,0.06653,,1486,2455.65,0.0731
01216,0.05556,,613,2227.47,0.07368
01217,0.15241,,13310,2827.82,0.03376
01218,0.04393,,385,2177.82,0.12606
01219,0.08347,,841,2615.31,0.09302
01220,0.0632,,689,2663.07,0.06023
01221,0.07628,,1713,2800.3,0.05726
01222,0.04803,,322,2240.95,0.0753
01223,0.06166,,1053,2761.09,0.05759
01224,0.09818,,5369,2837.8,0.01364
01225,0.0839,,2026,2595.53,0.02899
01226,0.07827,,777,2668.54,0.0627
01227,0.03602,,123,2050.71,0.0931
01228,0.08,,1173,2567.83,0.04204
01229,0.08286,,1014,2698.14,0.05467
01230,0.07248,,2536,2624.61,0.04519
01231,0.10874,,5392,2817.74,0.03757
01233,0.09403,,1491,2651.4,0.05641
01234,0.15503,,4194,2871.85,0.02561
01235,0.10251,,3152,2591.99,0.03406
01236,0.06545,,2276,2471.31,0.05304
01303,0.09851,,1809,2643.86,
01304,0.0544,,317,2642.25,
01331,0.03919,,245,2912.6,
01332,0.02681,,151,2767.24,
01333,0.04627,,167,2498.57,
01334,0.04923,,204,2543.81,
01337,0.08324,,1289,2464.23,
01343,0.05826,,250,2378.29,
01345,0.0483,,590,2389.54,
01346,0.06693,,618,2692.22,
01347,0.05632,,473,2487.97,
01361,0.08392,,261,2851.08,
01362,0.03755,,191,2488.67,
01363,0.06908,,116,2885,
01364,0.04466,,143,2583.29,
01367,0.05838,,76,3031.93,
01370,0.06293,,240,2515.28,
01371,0.05341,,233,2516.73,
01391,0.03972,,40,2774.12,
01392,0.07081,,94,2716.5,
01393,0.09504,,114,2630.3,
01394,0.07133,,201,2486.8,
01395,0.13029,,192,2519.19,
01396,0.07826,,114,2648.43,
01397,0.09784,,86,2508.42,
01398,0.08151,,54,2351.86,
01399,0.09008,,79,2551.27,
01400,0.12809,,467,2778.16,
01401,0.08185,,196,2898.39,
01402,0.0666,,529,2604.84,
01403,0.07476,,49,2836.91,
01404,0.0607,,17,3282.06,
01405,0.05225,,78,2383.63,
01406,0.04766,,99,2428.05,
01407,0.07364,,146,2402.51,
01408,0.08619,,1081,2494.08,
01409,0.11437,,30,2621.9,
01423,0.08575,,690,2641.87,
01424,0.06221,,235,2440.65,
01425,0.0307,,142,1925.61,
01427,0.05641,,232,2317.81,
01428,0.08127,,543,2776.55,
01429,0.0744,,584,2440.22,
01430,0.06164,,154,2595.83,
01431,0.05208,,74,2645.09,
01432,0.06062,,260,2549.78,
01433,0.04257,,126,2409.93,
01434,0.0598,,123,2369.65,
01436,0.05528,,273,2632.29,
01437,0.0509,,92,2528.52,
01438,0.06719,,157,2508,
01452,0.07613,,272,2726.67,
01453,0.10063,,501,2856.1,
01454,0.05697,,246,2436.47,
01455,0.05681,,136,2404.92,
01456,0.06054,,112,2622.88,
01457,0.07708,,129,2304.9,
01458,0.09058,,435,2553.78,
01459,0.07674,,416,2634.61,
01460,0.05051,,431,2689.81,
01461,0.0647,,260,2899.86,
01462,0.07799,,92,2713,
01463,0.13372,,35,2568.93,
01464,0.04465,,112,2406.22,
01465,0.04793,,144,2651.13,
01468,0.06693,,151,2736.1,
01469,0.07731,,264,2681.9,
01470,0.12036,,160,3064.57,
01471,0.09037,,49,2833.77,
01472,0.07271,,69,2770.15,
01481,0.06008,,120,2533.74,
01482,0.0645,,175,2558.3,
01483,0.05085,,152,2666.77,
01484,0.05994,,199,2553.22,
01485,0.05862,,33,2886.9,
01486,0.05645,,109,2594.07,
01487,0.08377,,114,2731.18,
01511,0.08551,,49,3611.33,
01512,0.07319,,95,2752.66,
01513,0.06136,,45,2639.75,
01514,0.06212,,246,2904.66,
01516,0.06338,,139,2622.53,
01517,0.05423,,68,2820.21,
01518,0.06541,,71,2879.9,
01519,0.0533,,84,2678.64,
01520,0.12821,,60,3052.68,
01543,0.05791,,780,2661.79,
01544,0.055,,194,2722.75,
01545,0.07876,,440,3375.93,
01546,0.06976,,153,2831.42,
01547,0.06893,,153,2625.95,
01549,0.06824,,182,2675.92,
01550,0.07209,,151,2751.2,
01552,0.06735,,165,2758.34,
01555,0.0715,,728,2699.42,
01559,0.06032,,353,2638.15,
01560,0.08921,,73,2573.1,
01561,0.0786,,118,2895.4,
01562,0.08761,,23,2852.48,
01563,0.06188,,138,2755.06,
01564,0.07498,,300,2845.24,
01571,0.07567,,155,2477.12,
01575,0.0803,,75,2401.3,
01578,0.0607,,809,2501.72,
01581,0.09167,,189,2696.05,
01584,0.07032,,372,2396.2,
01585,0.08072,,357,4326.25,
01586,0.06176,,397,2588.63,
01601,0.07803,,440,2877.47,
01602,0.07802,,178,2797.4,
01604,0.06736,,180,2577.96,
01607,0.0992,,575,2888.82,
01608,0.05013,,153,2551.18,
01609,0.05334,,179,2872.57,
01610,0.07226,,888,2640.54,
01631,0.08805,,1838,2763.86,
01632,0.08553,,191,3123.37,
01633,0.07825,,121,2946.34,
01634,0.08689,,203,3266.74,
01635,0.10076,,207,2681.04,
01636,0.08363,,340,2775.88,
01637,0.09241,,776,2919.67,
01638,0.11443,,274,3772.68,
01639,0.08872,,120,3005.11,
01641,0.07787,,151,2873.79,
01642,0.07345,,257,2965.57,
01643,0.08271,,1041,2632.78,
01644,0.08322,,274,2635.34,
01645,0.06355,,85,2936.26,
01646,0.06436,,390,2855.2,
01647,0.06836,,191,2828.98,
01648,0.05849,,55,2783.34,
01649,0.05533,,145,2836.83,
01661,0.06065,,1060,2610.24,
01662,0.05427,,417,2800.88,
01663,0.06841,,230,2864.19,
01664,0.07349,,346,2891.96,
01665,0.07364,,253,2630.31,
01667,0.1166,,90,2915.03,
01668,0.05187,,370,2408.45,
01691,0.07944,,513,3167.65,
01692,0.08711,,975,2780.72,
01693,0.07804,,200,3002.79,
01694,0.04358,,228,3066.44,
02201,0.12281,,15790,2749.34,0.03966
02202,0.11501,,12833,2693.28,0.05279
02203,0.10464,,11996,2722.99,0.05174
02204,0.06681,,1885,2197.39,0.0675
02205,0.07026,,2701,2483.64,0.08346
02206,0.09239,,4097,2544.57,0.04831
02207,0.10342,,1749,3063.36,0.06572
02208,0.07876,,2201,2716.92,0.08369
