geoid,name,state,pop,outlook,simGrowth,fittedProb,fittedGrowth,valuationGap,zhvi2025,medianValue,engines,human,access,regen,gateway,amenity,scarcity,distress,tags,positives,negatives,lowConfidence
1251587,On Top of the World CDP,FL,13772,-2.716,-2.959,0.132,-0.108,-3.186,,275000,-0.37,0.75,0.43,0.34,0.06,0.13,-0.56,-0.71,Demographic Loser; Housing Overbuild,"human capital (degrees, professional employment)",,1
3432415,Holiday City-Berkeley CDP,NJ,12896,-2.435,-2.554,0.409,-0.059,-2.987,,237200,0.24,-0.22,1.23,-0.26,0.2,0.08,0.33,-0.74,Demographic Loser,market access (population within 60-120min),,1
0639259,Laguna Woods city,CA,17342,-2.322,-2.895,0.511,-0.039,-3.715,453648,364900,-0.06,1.55,1.8,0.3,2.6,0.12,0.86,-0.31,Demographic Loser,"human capital (degrees, professional employment); market access (population within 60-120min); immigrant gateway",,0
1271625,The Villages CDP,FL,82108,-2.174,-1.701,0.11,-0.131,-2.831,399803,375100,-0.33,0.9,0.66,0.42,-0.15,0.87,0.03,-0.53,Retirement Market; Demographic Loser; Housing Overbuild,"amenity capital (seasonal homes, arts, prestige); human capital (degrees, professional employment); market access (population within 60-120min)",,0
0470355,Sun City West CDP,AZ,27003,-2.1,-1.864,0.142,-0.09,-3.063,387864,350500,-0.1,0.67,1.02,0.4,-0.27,0.63,0.59,-0.38,Retirement Market; Demographic Loser,"amenity capital (seasonal homes, arts, prestige); market access (population within 60-120min); human capital (degrees, professional employment)",,0
3923380,East Cleveland city,OH,13666,-2.078,-2.301,0.27,-0.012,-2.112,87709,68900,0.29,-0.33,0.71,0.1,-0.14,-0.06,0.11,2.74,,market access (population within 60-120min),distress vacancy,0
0470320,Sun City CDP,AZ,38018,-1.963,-1.837,0.192,-0.07,-2.87,308189,259800,-0.14,0.23,1.02,0.03,-0.1,0.28,0.41,-0.66,Retirement Market; Demographic Loser,"market access (population within 60-120min); amenity capital (seasonal homes, arts, prestige)",,0
4238288,Johnstown city,PA,18245,-1.95,-2.042,0.243,-0.033,-1.351,97326,42100,0.04,-0.33,-0.11,-0.38,-0.56,-0.23,-0.04,1.72,,,distress vacancy,0
0533482,Hot Springs Village CDP,AR,16509,-1.801,-1.515,0.096,-0.096,-1.646,244079,262000,-0.28,0.44,-0.21,-0.07,-0.47,0.15,-0.34,-0.47,Demographic Loser,,,0
1722255,East St. Louis city,IL,18278,-1.764,-1.807,0.178,-0.041,-0.164,,52700,-0.02,-0.26,0.58,-0.13,-0.56,-0.22,-0.29,3.13,,,distress vacancy,1
0470530,Sun Lakes CDP,AZ,14079,-1.743,-1.654,0.308,-0.063,-2.9,,425500,0.13,0.93,1.02,0.07,0.07,0.53,0.76,-0.67,Retirement Market; Demographic Loser,"amenity capital (seasonal homes, arts, prestige); human capital (degrees, professional employment); market access (population within 60-120min)",,1
0461940,Saddlebrooke CDP,AZ,12616,-1.677,-1.519,0.162,-0.074,-2.321,,471700,-0.22,1.7,0.32,0.24,0.14,0.14,-0.3,-0.99,Retirement Market; Demographic Loser; Housing Overbuild,"human capital (degrees, professional employment); distress vacancy",,1
4285188,Wilkinsburg borough,PA,14165,-1.631,-1.852,0.095,-0.01,-1.097,,140300,0.36,0.74,0.44,0.01,-0.23,-0.35,0.38,1.42,,"human capital (degrees, professional employment)","amenity capital (seasonal homes, arts, prestige); distress vacancy",1
5355855,Port Townsend city,WA,10290,-1.584,-1.478,0.175,-0.065,-3.666,636471,502500,0,1.1,0.74,-0.23,-0.12,0.26,0.66,-0.31,,"human capital (degrees, professional employment); market access (population within 60-120min)",,0
0660984,Rio Vista city,CA,10002,-1.559,-1.323,0.122,-0.086,-2.29,471397,480300,-0.08,0.25,1.36,-0.1,0.46,-0.05,0.3,-1.09,Demographic Loser; Housing Overbuild,market access (population within 60-120min); distress vacancy,,0
1257058,Pine Ridge CDP,FL,10676,-1.552,-1.358,0.246,-0.079,-2.262,,354600,0.08,0.24,0.43,-0.25,-0.01,0.09,-0.15,-0.22,Demographic Loser,,,1
1268950,Sugarmill Woods CDP,FL,10871,-1.52,-1.37,0.244,-0.072,-1.71,,289100,0.06,0.31,0.59,-0.1,-0.03,-0.11,-0.25,-0.49,Demographic Loser,,,1
0416410,Cottonwood city,AZ,12547,-1.504,-1.679,0.555,-0.017,-3.115,395660,286000,-0.31,-0.06,-0.12,-0.11,0.9,0.19,-0.2,-0.39,,,,0
