geoid,name,state,pop,zone,zoneName,zonePlaces,zoneRank,zonePercentile,structuralZoneRank,mechanismScore,structuralScore,historicalPersistenceScore,valuationGap,confidence,flowContradiction,tags
0639114,Ladera Ranch CDP,CA,23609,18,"Los Angeles--Long Beach--Anaheim, CA",371,1,,66,1.017,2.009,0.659,0.61,high,0,
0640886,Lawndale city,CA,31113,18,"Los Angeles--Long Beach--Anaheim, CA",371,2,,131,1.003,1.73,3.064,-0.09,medium,0,
0646492,Maywood city,CA,24593,18,"Los Angeles--Long Beach--Anaheim, CA",371,3,,110,1.001,1.817,3.416,-0.219,medium,1,
3663506,Roosevelt CDP,NY,19636,360,"New York city, NY",283,1,,75,1.317,2.358,1.367,1.99,high,0,
3651000,New York city,NY,8516202,360,"New York city, NY",283,2,,54,1.177,2.508,2.858,0.569,high,0,
3682942,Woodmere CDP,NY,18198,360,"New York city, NY",283,3,,48,1.161,2.526,-0.247,1.197,high,0,
1772923,Stone Park village,IL,4504,132,"Chicago city, IL",353,1,,149,1.146,1.255,2.662,1.444,high,1,
1724582,Evanston city,IL,76552,132,"Chicago city, IL",353,2,,3,1.141,2.538,-0.605,2.085,high,0,Knowledge Center
1754885,Oak Park village,IL,53315,132,"Chicago city, IL",353,3,,15,1.132,2.206,-0.804,2.069,high,0,
0600674,Albany city,CA,19768,39,"San Francisco--Oakland, CA",184,1,,6,1.155,2.769,2.191,0.984,high,0,
0622594,Emeryville city,CA,12756,39,"San Francisco--Oakland, CA",184,2,,7,1.127,2.701,-0.032,2.503,high,0,
0606000,Berkeley city,CA,120223,39,"San Francisco--Oakland, CA",184,3,,8,0.957,2.663,1.926,0.109,high,0,Knowledge Center
4874492,University Park city,TX,25104,423,"Dallas city, TX",177,1,,1,0.972,2.32,-0.762,0.509,high,0,Knowledge Center
4861796,Richardson city,TX,118269,423,"Dallas city, TX",177,2,,7,0.882,1.848,-0.092,1.402,high,0,
4850100,Murphy city,TX,21001,423,"Dallas city, TX",177,3,,5,0.881,1.884,0.597,1.933,high,0,
0473000,Tempe city,AZ,186419,16,"Phoenix--Mesa--Scottsdale, AZ",93,1,,2,0.933,1.591,-0.573,0.619,high,0,Knowledge Center
0444410,Maricopa city,AZ,62986,16,"Phoenix--Mesa--Scottsdale, AZ",93,2,,29,0.766,0.612,-0.082,0.594,high,0,
0402430,Anthem CDP,AZ,22622,16,"Phoenix--Mesa--Scottsdale, AZ",93,3,,11,0.75,1.069,-0.075,0.551,high,0,
4814929,Cinco Ranch CDP,TX,19139,481,"Houston, TX",171,1,,5,1.013,1.975,0.529,2.142,high,0,
4823164,El Lago city,TX,3016,481,"Houston, TX",171,2,,22,0.913,1.253,-0.35,1.681,high,0,
4827996,Galena Park city,TX,10527,481,"Houston, TX",171,3,,58,0.9,0.591,1.685,0.923,high,0,
5361115,Sammamish city,WA,66375,542,"Seattle--Tacoma, WA",287,1,,4,0.782,2.35,1.724,0.99,high,0,
5363000,Seattle city,WA,741440,542,"Seattle--Tacoma, WA",287,2,,13,0.772,1.91,0.274,0.604,high,0,
5343150,Maple Valley city,WA,28121,542,"Seattle--Tacoma, WA",287,3,,58,0.724,1.254,0.218,0.486,high,0,
1202681,Aventura city,FL,39372,78,"Miami city, FL",117,1,,4,1.471,2.783,3.437,2.011,high,0,Amenity Destination
1269555,Sunny Isles Beach city,FL,22125,78,"Miami city, FL",117,2,,5,1.448,2.628,3.622,0.438,medium,0,Amenity Destination
1236300,Key Biscayne village,FL,14560,78,"Miami city, FL",117,3,,2,1.257,3.056,3.614,1.19,medium,0,Amenity Destination
3428650,Guttenberg town,NJ,11638,347,"Newark city, NJ",334,1,,25,1.827,2.877,3.01,2.193,high,0,
3479610,West New York town,NJ,51683,347,"Newark city, NJ",334,2,,49,1.57,2.557,3.294,1.433,high,0,
3474630,Union City city,NJ,66375,347,"Newark city, NJ",334,3,,78,1.521,2.346,3.366,0.757,high,0,
2511000,Cambridge city,MA,117794,234,"Boston, MA--NH",184,1,,2,1.498,3.183,0.606,1.571,high,0,Knowledge Center
2562535,Somerville city,MA,80549,234,"Boston, MA--NH",184,2,,9,1.395,2.539,0.249,1.171,high,0,
2509210,Brookline CDP,MA,62822,234,"Boston, MA--NH",184,3,,1,1.203,3.312,0.957,1.704,high,0,
2445525,Langley Park CDP,MD,22057,73,"Washington city, DC",217,1,,96,1.814,1.817,3.511,1.471,high,0,
2424650,East Riverdale CDP,MD,19043,73,"Washington city, DC",217,2,,92,1.32,1.862,3.392,1.476,medium,0,
5187410,Woodlawn CDP,VA,21828,73,"Washington city, DC",217,3,,105,1.228,1.764,2.486,2.967,high,0,
2689140,Ypsilanti city,MI,19937,252,"Detroit, MI",191,1,,13,1.11,1.733,-0.677,0.632,high,1,Knowledge Center
2603000,Ann Arbor city,MI,121179,252,"Detroit, MI",191,2,,1,1.085,2.799,-0.858,1.729,high,0,Knowledge Center
2636280,Hamtramck city,MI,27830,252,"Detroit, MI",191,3,,41,1.051,1.017,2.855,0.774,high,0,
2743000,Minneapolis city,MN,426845,258,"Minneapolis city, MN",178,1,,8,0.973,1.594,-0.612,1.391,high,0,
2720420,Falcon Heights city,MN,5145,258,"Minneapolis city, MN",178,2,,1,0.924,2.324,-0.49,2.021,high,1,
2758000,St. Paul city,MN,307762,258,"Minneapolis city, MN",178,3,,12,0.917,1.494,-0.093,1.342,high,0,
0616378,Coronado city,CA,18558,52,"San Diego, CA",56,1,,2,0.851,2.07,3.34,-1.102,medium,1,Military Anchor; Amenity Destination
0607596,Borrego Springs CDP,CA,2781,52,"San Diego, CA",56,2,,44,0.667,0.651,3.305,0.371,medium,0,Amenity Destination; Aging Trap
0668196,San Marcos city,CA,94078,52,"San Diego, CA",56,3,,12,0.63,1.523,1.938,-0.265,high,0,
0807850,Boulder city,CO,106274,54,"Denver--Aurora, CO",118,1,,5,0.936,2.179,-0.072,-0.057,high,0,Knowledge Center
0830340,Glendale city,CO,4546,54,"Denver--Aurora, CO",118,2,,6,0.876,2.138,-0.594,1.537,high,0,
0830835,Golden city,CO,20467,54,"Denver--Aurora, CO",118,3,,26,0.862,1.507,-0.211,-0.272,high,0,Knowledge Center
4275648,Swarthmore borough,PA,6524,72,"Philadelphia city, PA",223,1,,4,1.268,2.777,-0.802,3.128,medium,0,Knowledge Center
4269752,Sharon Hill borough,PA,5978,72,"Philadelphia city, PA",223,2,,68,1.142,1.617,0.403,2.14,high,0,
4282704,West Chester borough,PA,19235,72,"Philadelphia city, PA",223,3,,43,1.137,1.825,-0.912,0.325,medium,0,Knowledge Center
1262885,St. Pete Beach city,FL,8832,88,"Tampa--St. Petersburg, FL",118,1,,9,0.87,1.559,1.085,0.629,high,1,Amenity Destination; Aging Trap
1272325,Treasure Island city,FL,6568,88,"Tampa--St. Petersburg, FL",118,2,,46,0.833,0.983,1.292,-0.182,high,1,Amenity Destination; Aging Trap
1264925,Seffner CDP,FL,8498,88,"Tampa--St. Petersburg, FL",118,3,,77,0.756,0.61,-0.186,0.446,high,0,
4962470,Provo city,UT,114303,517,"Salt Lake City, UT",136,1,,5,0.946,1.658,-0.384,0.236,high,0,Knowledge Center
4972720,Stansbury Park CDP,UT,11163,517,"Salt Lake City, UT",136,2,,47,0.764,0.775,-0.856,0.696,high,0,
4911440,Cedar Hills city,UT,9945,517,"Salt Lake City, UT",136,3,,17,0.737,1.085,-0.378,0.609,high,0,
4140300,Lafayette city,OR,4428,427,"Portland, OR--WA",142,1,,52,0.667,0.699,-0.298,0.216,high,0,
4152100,Newberg city,OR,25622,427,"Portland, OR--WA",142,2,,46,0.654,0.771,-0.601,-0.138,high,0,
4128650,Gervais city,OR,2588,427,"Portland, OR--WA",142,3,,70,0.651,0.581,1.378,0.033,high,0,
0608968,Burbank CDP,CA,5552,51,"San Jose, CA",82,1,,27,0.978,1.625,2.649,0.125,high,0,
0669084,Santa Clara city,CA,129239,51,"San Jose, CA",82,2,,8,0.965,2.644,3.017,0.666,medium,0,
0669112,Santa Cruz city,CA,60953,51,"San Jose, CA",82,3,,15,0.944,1.972,1.267,-0.316,high,0,Knowledge Center
2420875,Crofton CDP,MD,29878,232,"Baltimore, MD",97,1,,14,1.015,1.966,-0.288,2.182,high,0,Government Hub
2431625,Garrison CDP,MD,10449,232,"Baltimore, MD",97,2,,11,0.958,2.146,-0.739,2.353,high,0,
2478425,Towson CDP,MD,57683,232,"Baltimore, MD",97,3,,7,0.953,2.226,-0.852,1.776,high,0,Knowledge Center
3978932,University Heights city,OH,13508,398,"Cleveland, OH",163,1,,5,1.35,1.978,-1.094,2.542,medium,1,Knowledge Center
3916014,Cleveland Heights city,OH,44694,398,"Cleveland, OH",163,2,,12,0.989,1.674,-0.955,2.208,high,1,
3973264,South Euclid city,OH,21606,398,"Cleveland, OH",163,3,,40,0.936,1.061,-0.923,2.024,high,1,
1237648,Lake Butler CDP,FL,17242,80,"Orlando, FL",132,1,,15,0.766,1.263,0.968,3.062,high,0,
1238425,Lake Mary city,FL,16724,80,"Orlando, FL",132,2,,23,0.764,1.189,-0.085,1.04,high,0,
1250525,Oakland town,FL,3566,80,"Orlando, FL",132,3,,42,0.753,0.941,-0.412,0.838,high,0,
0618100,Davis city,CA,66801,43,"Sacramento, CA",98,1,,1,1.095,2.776,0.018,0.809,high,0,Knowledge Center
0640410,La Riviera CDP,CA,11503,43,"Sacramento, CA",98,2,,16,0.783,1.317,0.21,0.63,high,0,
0686034,Winters city,CA,7453,43,"Sacramento, CA",98,3,,51,0.744,0.828,0.14,0.388,high,0,
4862138,Rio Bravo city,TX,4502,480,"San Antonio, TX",92,1,,74,0.899,-0.573,1.439,0.322,high,1,
4839448,Kirby city,TX,8100,480,"San Antonio, TX",92,2,,26,0.859,0.611,0.865,1.043,high,1,
4874408,Universal City city,TX,19853,480,"San Antonio, TX",92,3,,15,0.858,0.847,-0.367,0.912,high,0,
4876672,Watauga city,TX,23336,508,"Fort Worth city, TX",95,1,,25,0.927,0.808,-0.554,1.225,high,0,
4862384,River Oaks city,TX,7516,508,"Fort Worth city, TX",95,2,,23,0.903,0.864,0.644,1.054,high,0,
4824912,Everman city,TX,6060,508,"Fort Worth city, TX",95,3,,20,0.881,0.895,0.089,0.868,high,0,
3251800,North Las Vegas city,NV,270773,340,"Las Vegas--Henderson--Paradise, NV",27,1,,11,0.523,0.571,1.251,-0.154,high,0,
3231900,Henderson city,NV,324523,340,"Las Vegas--Henderson--Paradise, NV",27,2,,8,0.479,0.778,0.413,-0.023,high,0,
3240000,Las Vegas city,NV,650873,340,"Las Vegas--Henderson--Paradise, NV",27,3,,7,0.402,0.8,1.415,-0.198,high,0,
1322052,Decatur city,GA,24470,100,"Atlanta city, GA",99,1,,9,0.854,1.647,-0.628,2.82,high,0,
1353004,Morrow city,GA,6519,100,"Atlanta city, GA",99,2,,38,0.834,0.644,2.086,0.614,high,0,
1362524,Powder Springs city,GA,17414,100,"Atlanta city, GA",99,3,,25,0.787,0.895,-0.228,0.835,high,0,
3774760,Wingate town,NC,4169,372,"Charlotte, NC--SC",126,1,,3,0.951,1.326,-0.095,0.803,medium,0,Knowledge Center
3736860,Landis town,NC,3726,372,"Charlotte, NC--SC",126,2,,48,0.821,0.266,-0.635,0.642,high,0,
3755260,Ranlo town,NC,4556,372,"Charlotte, NC--SC",126,3,,37,0.814,0.396,-0.353,0.525,high,0,
1230200,Highland Beach town,FL,4264,77,"Port St. Lucie city, FL",125,1,,2,1.092,2.229,0.896,1.144,high,0,Amenity Destination
1233150,Hypoluxo town,FL,2744,77,"Port St. Lucie city, FL",125,2,,15,1.048,1.511,1.332,1.344,high,0,Amenity Destination; Aging Trap
1254025,Palm Beach town,FL,9234,77,"Port St. Lucie city, FL",125,3,,1,0.943,2.29,3.23,-0.052,medium,1,Amenity Destination
2060825,Roeland Park city,KS,6800,174,"Kansas City, MO--KS",124,1,,7,0.937,1.411,-0.979,1.489,high,0,
2022700,Fairway city,KS,4177,174,"Kansas City, MO--KS",124,2,,3,0.913,1.751,-0.946,1.767,high,0,
2909424,Buckner city,MO,2917,174,"Kansas City, MO--KS",124,3,,61,0.876,0.127,-0.996,1.021,high,0,
