geoid,name,state,pop,historicalPersistenceScore,outlook,historicalWinnerIndex,mechanismScore,mechanismRealLogGrowth,historicalRelativeGrowth,structuralScore,valuationGap,modelDisagreement,zhvi2025,medianValue,housingMarketEligible,confidence,confidenceReasons,engines,human,access,regen,gateway,amenity,scarcity,health,distress,tags,positives,negatives
0873825,Steamboat Springs city,CO,13341,1.813,1.813,0.6205,0.252,0.108,0.046,-0.241,-2.697,1.56,1278818,874400,1,high,,-0.56,1.28,-1.81,-0.2,0.16,2.43,0.11,-0.36,0.42,Amenity Destination,human capital; amenity capital,market access; institutional engines
1578500,Waimea CDP,HI,10242,1.653,1.653,0.5883,-0.917,-0.612,-0.045,-0.032,-2.219,2.57,997314,652900,1,medium,statistical/mechanism disagreement,-0.14,0.53,-1.09,-0.03,0.81,0.43,-0.69,-0.11,-0.58,,human capital,market access
5615760,Cody city,WY,10121,-0.484,-0.484,0.157,-0.143,-0.135,-0.039,-0.857,-2.149,0.341,491840,357300,1,high,,-0.2,0.38,-2.3,-0.09,-0.49,0.33,-0.3,0.18,-0.66,,,market access
1577450,Wailuku CDP,HI,15754,1.865,1.865,0.631,-0.967,-0.643,-0.06,-0.065,-2.029,2.832,939738,781700,1,medium,statistical/mechanism disagreement,0.07,0.35,-1.05,-0.29,0.63,0.31,0.45,-0.07,-0.1,,,market access
3040075,Kalispell city,MT,26830,-0.264,-0.264,0.2013,-0.223,-0.184,-0.017,-0.22,-1.991,0.041,559531,381400,1,high,,0.13,0.22,-1.63,0.25,-0.33,0.02,0.24,0.71,-0.87,,,market access
0851745,Montrose city,CO,20703,-0.178,-0.178,0.2187,-1.119,-0.736,-0.061,-0.636,-1.969,0.941,461640,359000,1,high,,-0.29,0.2,-1.48,-0.12,-0.03,-0.2,-0.15,0.68,-0.19,,,market access
0412840,Chino Valley town,AZ,13372,0.103,0.103,0.2754,-1.167,-0.766,-0.027,-0.378,-1.957,1.27,493365,352100,1,high,,-0.05,-0.34,-0.25,-0.3,-0.25,-0.2,-1.14,-0.06,-0.84,,,
4937170,Hurricane city,UT,21677,-0.208,-0.208,0.2127,-0.177,-0.156,-0.039,-0.488,-1.913,0.031,515646,411400,1,high,,-0.27,0.04,-0.92,0.1,-0.23,0.27,-1.42,-0.16,-0.86,,,market access
4827348,Fredericksburg city,TX,11254,0.585,0.585,0.3726,-0.562,-0.393,-0.003,-0.017,-1.893,1.146,550275,442800,1,high,,-0.28,0.46,-0.33,-0.16,-0.19,1.01,-0.18,-0.14,-0.06,Amenity Destination,,
4980090,Vernal city,UT,10254,-0.087,-0.087,0.2371,0.444,0.227,-0.043,-1.346,-1.831,0.531,283710,234200,1,high,,-0.13,-0.71,-2.06,0.84,-0.47,0.18,0.37,-0.26,0.94,,,market access; human capital
0602042,Anderson city,CA,11282,0.557,0.557,0.367,-0.036,-0.069,0.001,-0.594,-1.79,0.593,343339,272000,1,high,,-0.28,-0.32,-0.87,0.24,-0.16,-0.03,0.06,-0.31,-0.43,,,market access
0439370,Lake Havasu City city,AZ,58037,0.977,0.977,0.4518,0.111,0.021,-0.006,-0.508,-1.771,0.866,467778,411500,1,high,,-0.29,-0.19,-1.3,-0.19,-0.07,1.12,0.15,0.01,-0.59,Amenity Destination,,market access
4767120,Sevierville city,TN,18105,0.782,0.782,0.4124,-0.254,-0.203,-0.004,-0.291,-1.714,1.035,421111,264000,1,high,,-0.46,-0.34,-0.16,0.1,0.99,1.19,-0.47,-0.73,0.52,,,institutional engines
1311560,Brunswick city,GA,15248,0.865,0.865,0.4292,-0.448,-0.323,0.015,-0.263,-1.697,1.313,261483,128300,1,high,,0.11,-0.26,-0.49,0.18,-0.14,0.05,0.25,0.6,0.65,,,
4159850,Prineville city,OR,11187,-0.22,-0.22,0.2103,-0.291,-0.226,-0.052,-0.758,-1.695,0.071,432366,364600,1,high,,-0.28,-0.4,-1.1,0.07,-0.15,-0.31,-0.25,0.29,-0.39,,,market access
5669845,Sheridan city,WY,19035,-0.19,-0.19,0.2162,0.065,-0.007,-0.041,-0.447,-1.684,0.255,429124,295300,1,high,,0.33,0.19,-2.04,-0.02,-0.47,0.01,0.09,0.46,-0.86,,,market access
0409690,Camp Verde town,AZ,12282,0.36,0.36,0.3273,-0.935,-0.623,-0.011,-0.349,-1.682,1.295,426552,286700,1,high,,-0.49,-0.24,-0.14,0.09,-0.11,0.68,-0.47,-0.4,-0.31,,,institutional engines
1352192,Monroe city,GA,15336,-0.228,-0.228,0.2086,0.12,0.027,0.027,-0.03,-1.662,0.348,373083,222000,1,high,,-0.39,-0.3,0.68,0.4,-0.27,0.07,0.01,-0.48,-0.19,,market access,
3222500,Elko city,NV,20624,-0.325,-0.325,0.1891,0.317,0.148,-0.042,-1.2,-1.65,0.642,356293,285400,1,high,,-0.18,-0.36,-2.14,0.33,0.1,0.11,-0.21,-0.72,0.06,,,market access
4660020,Spearfish city,SD,12551,-0.678,-0.678,0.1177,0.089,0.008,-0.056,-0.2,-1.637,0.767,459746,309200,1,high,,0.2,0.43,-1.26,0.18,-0.5,0.43,-0.62,-0.04,-0.5,,,market access
2941168,Lebanon city,MO,15157,-0.286,-0.286,0.1969,0.159,0.051,-0.018,-0.963,-1.624,0.445,220542,152200,1,high,,-0.35,-0.59,-0.97,0.2,-0.48,-0.22,0.24,-0.33,-0.06,,,market access; human capital
0466470,Show Low city,AZ,11913,0.977,0.977,0.4518,0.375,0.184,0.058,-0.402,-1.623,0.602,437981,275000,1,high,,-0.18,0.15,-1.62,0,-0.2,1.73,-0.84,0.32,-0.47,Amenity Destination,amenity capital,market access
0625296,Fortuna city,CA,12413,0.95,0.95,0.4465,-0.16,-0.145,-0.007,-0.358,-1.607,1.11,431605,353200,1,high,,0.05,-0.1,-1.38,-0.02,0.69,-0.1,0.61,-0.09,-0.3,,,market access
4154900,Ontario city,OR,11728,0.126,0.126,0.2801,-0.345,-0.26,-0.015,-0.373,-1.592,0.471,303084,217500,1,high,,-0.02,-0.49,-0.42,0.14,-0.01,0.13,0.63,-0.33,0.22,,,
4152450,Newport city,OR,10393,1.141,1.141,0.4849,-0.604,-0.419,0.007,-0.093,-1.58,1.745,451202,404800,1,high,,-0.08,0.22,-0.56,-0.13,0.11,0.74,0.12,-0.48,-0.1,,,market access
3253800,Pahrump CDP,NV,45811,0.655,0.655,0.3868,-1.002,-0.664,-0.038,-0.549,-1.569,1.657,366190,283400,1,high,,-0.6,-0.53,0.23,-0.28,0.12,0.55,-1.07,-0.97,-0.42,,,institutional engines; human capital
4718540,Crossville city,TN,12265,-0.305,-0.305,0.193,-0.542,-0.381,0.008,-0.601,-1.566,0.237,308371,230300,1,high,,-0.37,-0.36,-0.41,0,-0.21,0.06,-0.53,-0.41,-0.33,,,
2811100,Canton city,MS,10863,-0.499,-0.499,0.154,-0.049,-0.077,0.021,-0.476,-1.562,0.45,224988,111800,1,high,,-0.29,-0.05,-0.46,0.24,-0.39,-0.28,-0.25,-0.21,-0.15,,,
5666220,Riverton city,WY,10803,-0.086,-0.086,0.2372,0.342,0.163,-0.024,-1.074,-1.556,0.428,269416,204900,1,high,,0.13,-0.24,-2.36,0.1,-0.51,0.01,0.25,0.03,-0.11,,,market access
0644910,McKinleyville CDP,CA,17152,0.107,0.107,0.2761,-0.002,-0.048,-0.035,-0.114,-1.55,0.109,508301,414200,1,high,,0.39,0.3,-1.38,0.18,-0.31,-0.03,0,0.43,-0.45,,,market access
4163650,Roseburg city,OR,23773,0.169,0.169,0.2887,-0.346,-0.26,-0.014,-0.33,-1.547,0.515,365067,266600,1,high,,0.02,-0.2,-1.02,0.08,-0.41,-0.15,0.56,0.62,-0.56,,,market access
1666340,Rathdrum city,ID,10133,-0.802,-0.802,0.0927,0.147,0.043,-0.045,-0.42,-1.543,0.949,568796,381800,1,high,,-0.23,-0.22,-0.31,0.24,-0.5,-0.34,-0.78,-0.19,-0.69,,,
