geoid,name,state,pop,historicalPersistenceScore,outlook,historicalWinnerIndex,mechanismScore,mechanismRealLogGrowth,historicalRelativeGrowth,structuralScore,valuationGap,modelDisagreement,zhvi2025,medianValue,housingMarketEligible,confidence,confidenceReasons,engines,human,access,regen,gateway,amenity,scarcity,health,distress,tags,positives,negatives
1269555,Sunny Isles Beach city,FL,22125,3.622,3.622,0.9857,1.448,0.845,0.199,2.628,0.438,2.174,661537,489700,1,medium,statistical/mechanism disagreement,-0.21,1.11,1.08,-0.26,6,2.61,1.6,-0.43,0.1,Amenity Destination,immigrant gateway; human capital; market access,
1236300,Key Biscayne village,FL,14560,3.614,3.614,0.9839,1.257,0.727,0.132,3.056,1.19,2.357,1643629,1238700,1,medium,statistical/mechanism disagreement,-0.11,3.1,1.06,-0.43,5.52,1.35,1.47,-1.1,0.1,Amenity Destination,human capital; immigrant gateway; market access,
1245025,Miami Beach city,FL,81319,3.533,3.533,0.9677,0.952,0.539,0.126,2.352,0.835,2.581,536516,542000,1,medium,statistical/mechanism disagreement,-0.15,1.41,1.07,-0.13,5.21,1.85,1.47,-0.59,0.65,Amenity Destination,immigrant gateway; human capital; market access,
2445525,Langley Park CDP,MD,22057,3.511,3.511,0.9633,1.814,1.07,0.118,1.817,1.471,1.698,367028,348700,1,high,,-0.44,-0.61,1.42,0.92,6,-0.31,1.93,-1.21,-1.03,,immigrant gateway; market access; distress vacancy,human capital; institutional engines
0620956,East Palo Alto city,CA,29143,3.496,3.496,0.9601,0.607,0.327,0.041,1.638,-0.336,2.889,1053417,1124000,1,medium,statistical/mechanism disagreement,0,0.32,1.37,0.28,3.74,-0.07,1.49,-0.63,0.12,,immigrant gateway; market access,
2543755,Nantucket CDP,MA,10837,3.492,3.492,0.9594,0.806,0.449,0.139,1.074,-2.854,2.686,2918605,1359200,1,medium,statistical/mechanism disagreement,-0.23,1.29,-0.48,0.09,0.88,2.74,0.43,-0.18,-0.64,Amenity Destination,human capital; amenity capital,
1217935,Doral city,FL,76490,3.49,3.49,0.9589,0.559,0.297,0.052,2.321,1.287,2.93,557174,514600,1,medium,statistical/mechanism disagreement,-0.15,1.59,1.07,0.17,6,-0.06,-0.3,-0.78,-0.31,,immigrant gateway; human capital; market access,
0678148,Temple City city,CA,35749,3.479,3.479,0.9568,0.872,0.49,0.029,2.449,0.37,2.607,1084762,930200,1,medium,statistical/mechanism disagreement,0.15,0.91,1.87,-0.27,4.53,-0.12,1.19,-0.29,-0.77,,immigrant gateway; market access; human capital,
0602462,Arcadia city,CA,55550,3.466,3.466,0.9542,0.673,0.367,-0.01,2.643,0.339,2.794,1375701,1336500,1,medium,statistical/mechanism disagreement,0.37,1.43,1.88,-0.22,3.97,-0.26,0.95,0.57,-0.21,,immigrant gateway; market access; human capital,
1202681,Aventura city,FL,39372,3.437,3.437,0.9483,1.471,0.859,0.145,2.783,2.011,1.966,457505,416300,1,high,,0,1.6,1.09,-0.3,4.91,1.94,1.64,-0.25,-0.63,Amenity Destination,immigrant gateway; human capital; market access,
