region,year,agefrom,ageto,lu,lp,ls,lh,cov_pop,source
china,1950,15,24,27.963358422661656,48.505264598893234,22.714480960489144,0.8072444951820749,103364.0,bl-v3
china,1950,25,34,73.12192562845026,20.349133911436493,6.000753903380956,0.5281907029639633,84414.0,bl-v3
china,1950,35,44,86.55231701510625,10.625578496299184,2.5793663160628486,0.24273817253170582,69309.0,bl-v3
china,1950,45,54,92.49326219455713,6.138682450582633,1.2292352581559498,0.1387106096815428,53979.0,bl-v3
china,1950,55,64,97.85766772914562,1.829771178315064,0.2785485501049522,0.03399388426753738,38589.0,bl-v3
china,1955,15,24,26.678979035091,49.40062483650361,23.066296386262568,0.8539392353974363,107036.0,bl-v3
china,1955,25,34,51.88766697556676,37.12305517256967,9.95124652487399,1.0478774043351489,88486.0,bl-v3
china,1955,35,44,82.77873597230752,13.493884763553124,3.4124536597621575,0.31492211490145716,71644.0,bl-v3
china,1955,45,54,88.05562388655315,9.59319995724364,2.144853559466971,0.20632259673626452,56132.0,bl-v3
china,1955,55,64,96.76960845896147,2.7411217546063655,0.42418996021775546,0.06508244346733667,38208.0,bl-v3
china,1960,15,24,21.806928153717628,46.42149002134966,30.68263714842662,1.0987539218416413,107730.0,bl-v3
china,1960,25,34,35.970353283673326,50.80533002496814,11.859867492721941,1.3645564269655939,96523.0,bl-v3
china,1960,35,44,72.9258663740423,20.460061635104413,6.0634522229377215,0.5409806421089982,76093.0,bl-v3
china,1960,45,54,86.41973667088999,10.697439989042223,2.627455227202685,0.25536811286511657,58406.0,bl-v3
china,1960,55,64,92.23260273972602,6.347973172437008,1.2769860424165524,0.14240230986353158,38617.0,bl-v3
china,1965,15,24,20.533006117098747,45.434766805838755,32.95236867657054,1.0827246981907628,123588.0,bl-v3
china,1965,25,34,26.75023645281306,53.601684874322764,18.032410516031618,1.6172024355823982,101331.0,bl-v3
china,1965,35,44,51.65863929440388,37.27841630170316,10.002520316301702,1.059827615571776,82200.0,bl-v3
china,1965,45,54,82.6115842502559,13.603948631013305,3.457232919651996,0.3266680527123848,62528.0,bl-v3
china,1965,55,64,87.88138021013738,9.706674979794482,2.1956755570950235,0.21626648193049303,43305.0,bl-v3
china,1970,15,24,14.914194918393047,45.48891843008469,38.841810847181414,0.7552561791649175,161996.0,bl-v3
china,1970,25,34,17.891117391221044,56.023690150020116,24.19973827907957,1.8854541796792672,104386.0,bl-v3
china,1970,35,44,36.04261948829613,50.73362678279804,11.868752966793686,1.3553572128470333,91850.0,bl-v3
china,1970,45,54,72.80141384176723,20.531436306557993,6.131572247343107,0.5453734051438611,69442.0,bl-v3
china,1970,55,64,86.39853498147917,10.69212469305365,2.656943854829983,0.25291047571482084,48054.0,bl-v3
china,1975,15,24,13.50539347177101,38.05141046184916,47.656336047941004,0.7876128830450435,182224.0,bl-v3
china,1975,25,34,12.774462762135242,54.545523609723055,31.275613968432268,1.4039272174638444,121073.0,bl-v3
china,1975,35,44,26.676366510133967,53.61263706775629,18.10563222947287,1.6057565408306402,98382.0,bl-v3
china,1975,45,54,51.734580322187284,37.25881856106796,9.955961234837304,1.0506398819074514,77905.0,bl-v3
china,1975,55,64,82.48590071448453,13.691451424329589,3.4941412266864615,0.31811004917880664,53885.0,bl-v3
china,1980,15,24,5.25155390249142,31.82099077270479,62.024413264923794,0.9138507845948632,200167.0,bl-v3
china,1980,25,34,9.191036747135305,52.86117102878181,36.83460954208766,1.1157286394340227,159441.0,bl-v3
china,1980,35,44,17.88768310810154,56.00471208868077,24.180197122344097,1.9380518988448572,102931.0,bl-v3
china,1980,45,54,36.22943880977587,50.56670867055972,11.809307334175687,1.3945451854887363,87849.0,bl-v3
china,1980,55,64,72.46320371577575,20.756209908735332,6.156221968709256,0.565200293350717,61360.0,bl-v3
china,1985,15,24,5.257368622748569,35.22495156152779,57.884722493499645,1.633130720004615,242679.0,bl-v3
china,1985,25,34,10.172036496958587,39.9025791184068,48.078215037635744,1.8471733466655555,180015.0,bl-v3
china,1985,35,44,18.16228547488374,49.70423168126021,30.242067116343375,1.8912436214336588,119345.0,bl-v3
china,1985,45,54,33.91413622683352,46.169066265378326,18.003544432124187,1.9132551877079045,94695.0,bl-v3
china,1985,55,64,58.32016048715249,31.738151552229457,8.941702188202488,0.9910980849671341,70286.0,bl-v3
china,1990,15,24,5.6101022812069035,34.72877117998444,57.60194318665734,2.0591833521513037,255961.0,bl-v3
china,1990,25,34,9.085990548117982,27.711533474149157,60.1937126749434,3.008767709615492,197421.0,bl-v3
china,1990,35,44,18.145204319962325,45.901114993222215,33.74649241715512,2.207188269660347,157131.0,bl-v3
china,1990,45,54,33.28810636729832,41.14953004956943,22.82598104045309,2.736206879145508,99053.0,bl-v3
china,1990,55,64,56.51077544385782,30.8626959085697,11.196957447612808,1.429571199959678,79361.0,bl-v3
china,1995,15,24,2.013601767401459,24.7726001808174,68.27002158286135,4.943776468919793,225642.0,bl-v3
china,1995,25,34,5.409948452093608,29.247910798614758,60.93297009130024,4.399223213348725,238225.0,bl-v3
china,1995,35,44,10.964194581141467,37.65331478024775,48.18443961762542,3.1980510209853494,176790.0,bl-v3
china,1995,45,54,20.773048618755798,46.62596947133929,29.880610399854376,2.7203680428545427,115367.0,bl-v3
china,1995,55,64,42.42233462718482,38.32979534678319,16.890498675158053,2.357194124209743,86048.0,bl-v3
china,2000,15,24,1.3427382085422455,15.179745184807244,77.0521080388944,6.42537766025295,203834.0,bl-v3
china,2000,25,34,2.5437224213681855,26.183009738766316,64.62966659793487,6.633937776579377,252188.0,bl-v3
china,2000,35,44,4.456469847365677,28.06772648672644,62.3064158033562,5.159657979363138,193731.0,bl-v3
china,2000,45,54,10.924372710502041,47.842062063512984,37.93750645671366,3.296099617867967,151780.0,bl-v3
china,2000,55,64,25.409102292983757,46.356581782349224,25.020899035640337,3.213416889026672,90319.0,bl-v3
china,2005,15,24,0.5989869114550691,9.716080785583214,81.1945263461634,8.490487878555617,221797.0,bl-v3
