region,year,pop,pop2564,entrants,gdppc,gdp,gross_cur,gross_con,net_cur,net_con,inv_cur,inv_con,tert_stock
us,1925,111732111.0,55936760.69774415,1705729.8366357596,11149.772026621313,1245787565703.1475,3831012386718.9185,20976703052999.266,,,120406922397.90904,659287937941.0311,0.085
us,1930,119629770.0,59890587.9153771,1826297.4377963152,10694.982075282736,1279438245820.1965,3972260140735.0557,22674999348494.613,,,128434367473.33435,733146645889.9319,0.094
us,1935,124448298.0,62302901.128105894,1899858.2691876136,9680.838642745884,1204763892302.3555,3799452109841.998,23960598131014.727,,,123583603306.86398,779358962506.2153,0.10589410589410589
us,1940,129417367.0,64790580.10468568,1975717.2964425613,12005.095163215066,1553667806607.7292,4971672501797.057,25282881407282.312,,,158903454592.9776,808085648487.4146,0.11588411588411587
us,1945,138111665.0,69143230.94344836,2108446.5841511106,16477.551766472516,2275742109591.2104,7398436071157.117,27411758856689.92,,,232855700776.88074,862747783005.8615,0.125
us,1950,154202682.0,77198921.99999999,2354096.0,15240.0,2350048873680.0,7577021875222.7705,30353112806175.918,2417287366022.5522,9683513828270.32,244882820088.52692,980986459435.6877,0.14514514514514512
us,1955,166200023.99999997,80953945.0,2184742.2,17370.0,2886894416879.9995,9262505166806.225,32555045500004.88,2997513910161.1523,10535400517983.363,262656352689.21158,923161645653.4712,0.15984015984015984
us,1960,180274555.0,83561136.0,2217438.6,18057.0,3255217639635.0,10207498542380.414,34511464607971.824,3215815580467.139,10872644765048.842,286103911625.1802,967314859684.721,0.179
us,1965,195653777.0,86748334.99999999,2716585.0,21390.0,4185034290030.0,13088733223733.129,37357387154112.6,4186955775202.133,11950257157641.256,427123697711.5765,1219080950414.2778,0.20340681362725455
us,1970,207796335.99999997,91655746.0,3467952.2,23958.0,4978384617887.999,16070103049507.002,40950363670123.836,5320542915665.199,13557981964880.742,632648861367.9263,1612136578632.65,0.23299999999999998
us,1975,219129298.99999997,100315610.0,3946531.0,25956.0,5687720084843.999,19936931232435.996,46893236407198.61,7427704670182.04,17470547849160.703,774698654505.801,1822152402821.9482,0.29729729729729726
us,1980,229858653.99999997,110114127.00000001,4351365.4,29611.0,6806344603593.999,25916798544989.555,53434031294779.31,10589754980645.746,21833456707918.32,1009875820149.7146,2082114273645.6196,0.35764235764235763
us,1985,241690443.99999997,120991309.99999999,4329574.8,33023.0,7981343532211.999,32568381309303.47,60210094860558.0,14348386516278.258,26526271141215.09,1117861418475.8088,2066622268026.554,0.42799999999999994
us,1990,253373386.0,130803066.0,3859810.2,36982.00000000001,9370254561052.002,40631217522995.73,67074756363702.57,18332012018194.863,30262820430644.793,1133178165267.0564,1870671222415.077,0.5014985014985015
us,1995,268205792.00000003,139550438.0,3726493.8,39390.6254014683,10564793883176.125,46683525357331.8,72353647645895.69,20336832786258.62,31519556896946.312,1158794271292.7903,1795986737450.4778,0.507
us,2000,281484132.00000006,147912422.0,3890280.2,45886.47049828895,12916313318754.477,58881981273142.85,78340695494679.89,25128907986765.3,33433252179014.773,1415709039916.037,1883558066612.0496,0.56
us,2005,295716663.00000006,157128452.00000003,4233770.8,49654.76142510663,14683740350693.66,67861602363249.67,83435884140223.47,28005273777820.28,34432502282127.93,1694567562682.4626,2083471917903.3577,0.5660000000000001
us,2010,311062791.00000006,165661945.00000003,4463825.0,49266.91586220606,15325104352059.99,72102393178457.19,89347821032761.4,29227207368617.625,36217761687817.12,1791383443469.9849,2219845975320.9663,0.6036036036036034
us,2015,326126496.0,172745626.00000003,4574677.6,52808.154135428966,17222138268415.357,80607277402506.5,93188630019694.84,32756072066247.246,37868708372788.41,1972415049514.1138,2280273719910.225,0.603
us,2020,339436158.99999994,178031342.0,4451887.6,54379.20651245575,18458268988055.76,85715831108836.34,96231628687454.17,33991248671162.58,38161366207753.336,1974136239172.8887,2216327405206.1133,0.6089999999999999
