year,pop,pop2564,entrants,gross_cur,gross_con,net_cur,net_con,inv_cur,inv_con,gdp,inv_gdp,index_con
1925,1972548655.0,828343024.6391058,34775201.621780366,12984388691693.607,96004639929366.73,0.0,0.0,507709357149.1282,3791043512671.81,6056450713287.965,0.08382952015694678,0.1718915440626461
1930,2067592141.0,867690528.4529539,36459952.52404016,13315581174368.072,102213383812297.73,0.0,0.0,525898787525.5102,4061336667441.778,6028409451440.523,0.0872367399330919,0.18300799190841385
1935,2172290254.0,910511468.3754373,38326292.69478886,13662276780374.896,108348924371547.16,0.0,0.0,553695434257.5594,4528259153282.487,6123441250931.749,0.09042226610295455,0.19399337283546392
1940,2287889110.0,957437903.910374,40388834.591123514,17652468188368.82,114724549415242.36,0.0,0.0,715688769959.5854,4800784161659.689,7839970482129.988,0.0912871766023722,0.20540861311897043
1945,2377255463.0,994054430.8805537,41976516.113613255,19089202244611.605,121463204718767.12,0.0,0.0,753064974547.6279,5103723816773.445,7956831243893.503,0.09464382886410595,0.2174738410692134
1950,2493093156.0,1042159318.0000001,44013327.2,20239416287100.984,130290974482778.48,4787518194650.079,26769641615521.555,802540368072.3005,5481654077589.7705,8324738872686.266,0.09640426929251332,0.2332795247995192
1955,2740214110.0,1135578153.0,46254718.4,26462542317987.215,143249171693189.56,6788362756419.62,33007535391061.715,970372557494.2375,5702946334603.526,10744368117642.74,0.09031453007467621,0.2564805339216262
1960,3015471200.0,1233928706.0,49427716.8,32477929424801.77,155927848174207.3,8400408370210.247,34281385582465.53,1209741392578.4,6167215088828.321,13199860298080.299,0.09164804515047305,0.27918107504751666
1965,3334534003.0,1338894118.0,50385194.2,42954641682335.25,171184644625254.72,11912131905946.05,43927925330371.11,1534805744064.4792,6499568426637.895,17166824657498.137,0.0894053370198609,0.3064976120539519
1970,3694684087.0,1437190944.0,60215473.4,55958012778003.56,186557359979245.56,16041112076757.422,50451446338001.15,2316898998839.5913,8174702909469.598,22139721287478.94,0.10464896864577547,0.33402169610423477
1975,4070735565.0,1574702782.0,72390824.8,71626523293933.92,210999571319785.78,22632784092226.56,63612105405840.35,3014730983111.9424,9834759038468.984,27054772283303.113,0.11143065450868671,0.37778426269187126
1980,4447606478.0,1764580127.0,79122296.6,90604858585247.23,241459320213824.88,31057052180075.25,80260200804739.3,3766535626906.0522,10684964089141.373,32291259358568.66,0.11664257454568992,0.4323209316800468
1985,4868943708.0,1988008162.0,89391958.6,111503834173255.33,275897779192837.3,40418446320903.35,96684149700792.94,4349536901798.626,11792029277514.393,37039668794859.15,0.11742915213114194,0.4939812836525746
1990,5327803331.0,2238415849.0,97793396.8,139560807182693.9,314438339502814.3,52341940572544.05,114761882663453.2,4979942448513.733,12834945688833.45,43559146891973.85,0.11432598670639554,0.5629862445127531
1995,5758879212.0,2505532913.0,102431627.4,165958548263913.47,355550032998840.44,62352273504755.625,131756488599589.55,5535759130388.213,13086313370998.115,50061858044798.18,0.11057837936087996,0.6365946917634421
2000,6171703205.0,2778339089.0,103869170.2,212303443758962.88,398204722683081.25,80373588690750.53,148679173262530.6,6499565229277.933,12996384559990.28,60551228473251.836,0.10733993996751162,0.7129657971259694
2005,6586970308.0,3038958557.0,114208588.8,270337070215869.22,437581101357394.0,101201618799762.7,161579388173089.34,8336590730249.16,14288535101869.156,74697386126824.64,0.11160485209074003,0.7834672492943523
2010,7021732388.0,3342060289.0,123669427.19999999,339328026292367.44,482402898788873.1,126255081548120.61,177890366711274.75,10570301686199.434,15608859094678.982,91318487639638.42,0.11575204495186148,0.8637184535468603
2015,7470492084.0,3646515497.0,121803526.4,410284509513366.9,516654948420459.9,153394945519907.75,192156591664740.06,11877411152980.775,15059123842363.227,109173786533972.08,0.10879361731476475,0.9250450488324166
2020,7887001474.999999,3882253612.0,121181359.6,462255271141062.25,543109693070401.4,165068457039310.66,193491230578578.72,12392016171787.955,14601595339619.348,121313366027699.55,0.10214881160711078,0.9724109564490389
2025,8209792468.0,4083270114.0,124810055.4,558518689519582.9,558518689519582.9,199495836235688.75,199495836235688.75,14859831527985.188,14859831527985.188,145653339511251.22,0.10202190748147807,1.0
