region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
us,2025,42597767144857.26,163468667.3197481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61050.561392568336,0.0,0.0
oecd-ex-us,2025,57584978608061.44,382715206.5144276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40746.2474376583,0.0,0.0
china,2025,57839764999751.484,754690317.0381244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23526.530999766437,0.0,0.0
india,2025,14432921146914.07,758253586.7746348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7962.740251283043,0.0,0.0
latam,2025,12756720765758.104,304226941.7672932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14201.148310712375,0.0,0.0
seasia,2025,12553011591910.963,338611634.74681383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12765.330691481528,0.0,0.0
russia,2025,11576313599487.303,139645266.8252507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20297.66333329072,0.0,0.0
mena,2025,11787095388255.021,222635280.40974152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20496.517103421746,0.0,0.0
ssa,2025,3711249022559.1807,444568199.96648616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3497.158670690358,0.0,0.0
us,2026,42650624259697.04,166961118.04950717,942258.3709978287,2026362714361.3816,2135863256170.7847,237672757765.1322,388539339518.8388,0.0,11491074895.47347,2373536013935.917,0.0,61980.16024673619,-347173299574.5354,41366039944.303406
oecd-ex-us,2026,57155771707682.5,388303852.52893054,1321888.7014311934,2400934703920.2725,2891116564007.126,312363797850.11694,360690282030.65546,0.0,12648475527.405304,3203480361857.243,0.0,41618.333088470004,-802545657936.9707,-441855375906.31525
china,2026,57367281460015.43,762018325.6697094,0.0,2709877323056.3174,2921057713237.975,314195159133.6152,0.0,20191405929.708416,73083415508.89754,3235252872371.5903,0.0,24228.855750619772,-525375549315.27295,-545566955244.9814
india,2026,15218549835933.812,778632281.0523635,0.0,1911124422271.8472,875115914978.6515,202958314835.0167,0.0,57569036196.553505,10147532758.122417,1078074229813.6682,0.0,8334.796268499304,833050192458.179,775481156261.6255
latam,2026,12970443597189.64,309987266.3670202,0.0,1010286765935.1719,683485139778.035,99626046286.11684,0.0,18772703400.049774,5319954960.567571,783111186064.1519,0.0,14736.250277982586,227175579871.02002,208402876470.97025
seasia,2026,12879211709463.262,345663904.28693175,0.0,1096459523389.5436,674018192009.6808,96665983904.65321,0.0,5750118343.761791,6174888420.862362,770684175914.334,0.0,13267.526588403778,325775347475.2096,320025229131.4478
russia,2026,11626777810291.363,142404087.57118854,203659.67093260528,669374252752.0508,583071538063.8567,68274617357.62827,26963450160.39313,0.0,5472663313.102625,651346155421.485,0.0,20949.93751363234,18028097330.565796,44991547490.95892
mena,2026,12574962275041.184,229929105.96034974,279603.656638372,1655047345670.8438,723244579527.987,186132303644.17688,33962885324.22148,0.0,8233538963.271418,909376883172.164,0.0,21152.088069819238,745670462498.6798,779633347822.9012
ssa,2026,4229422243324.101,471247839.454015,0.0,748793615042.3073,204375774676.6714,27681072261.42833,0.0,3501157251.6770983,4937609912.390349,232056846938.09973,0.0,3706.02193117199,516736768104.2075,513235610852.5304
us,2027,42682589894233.18,169281677.2820198,1876385.109771606,2010596397263.2659,2139410007635.6812,238951397630.584,387527476518.43945,0.0,12203166020.713427,2362312173257.807,16049232008.458244,62923.70303705832,-351715775994.54126,19762468515.43995
oecd-ex-us,2027,56712498016285.78,389403797.7864868,2618449.356145378,2379138422983.3394,2880311981629.9316,310027253060.8498,355695272940.41766,0.0,12231847370.271244,3175847287979.6675,14491946711.114044,42505.07432557021,-796708864996.3281,-455505538767.02454
china,2027,57700521532371.805,758499221.5795585,0.0,2632129732951.591,2896248697606.133,318448451811.74164,0.0,17041053275.853596,932848542098.564,3214697149417.8745,0.0,24946.710040432743,-582567416466.2837,-599608469742.1373
india,2027,15975562583781.678,788621669.0954226,0.0,1908901821908.1152,894642184918.2579,216837251954.4612,0.0,50752388727.8779,10342751540.337908,1111479436872.7192,0.0,8720.209769160245,797422385035.396,746669996307.5181
latam,2027,13172353519470.941,311665452.1304685,0.0,1002607683742.6797,687402738245.4805,101082717290.88564,0.0,17438614434.285793,5226308509.27474,788485455536.3661,0.0,15286.446916063733,214122228206.3136,196683613772.0278
seasia,2027,13190023397024.639,348283360.36957,0.0,1088933995391.0168,681199690854.5154,98449040430.76369,0.0,4604516035.26434,6130939490.900689,779648731285.279,0.0,13784.578329939995,309285264105.7378,304680748070.47345
russia,2027,11673407356984.451,144188781.39048785,395955.13777443947,668521245007.1726,584162612159.4512,68566513709.335976,25617167623.294376,0.0,5220259931.404243,651607489520.4601,1121636348.3271716,21617.743494906772,16913755486.712524,41409286761.679726
mena,2027,13312016855009.965,234321397.66148683,418506.8576567477,1660273353592.5403,745584467063.9021,199732120522.69998,17482209991.940792,0.0,4615603970.894318,943306414651.4935,2010172935.1085548,21823.19412143207,716966938941.0468,732438975997.879
ssa,2027,4744394728336.264,492858647.675165,0.0,764778945462.1182,217711457496.57855,30343569653.119205,0.0,6532350572.262598,4780917272.007385,248055027149.69775,0.0,3924.81990741194,516723918312.4204,510191567740.15784
us,2028,42708843682170.52,170493584.6018153,2842353.551362298,1994612102542.7708,2142500591882.9287,240070104530.01114,403021849114.0199,0.0,11190532693.457464,2350643339591.949,31927356820.990875,63881.398876560765,-356031237049.17847,15063255243.850555
oecd-ex-us,2028,56250270672432.36,388727139.2022067,3879883.990130945,2354008451187.821,2868871035812.7666,307545613306.0307,348022034884.50195,0.0,12158819193.074715,3147739771810.792,28676877308.004566,43406.67576409311,-793731320622.9712,-474386163046.4738
china,2028,57061504089889.3,752378273.2815979,0.0,2549024533593.091,2876618977449.5054,313611592541.8192,0.0,20645564107.53639,22834158023.250954,3190230569991.3247,0.0,25680.32047045773,-641206036398.2339,-661851600505.7703
india,2028,16701263752972.834,797653692.357224,0.0,1906137492088.044,914203853660.4624,229956603909.679,0.0,45329343541.91319,9053478215.172104,1144160457570.1414,0.0,9119.297570303788,761977034517.9026,716647690975.9894
