region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
us,2025,42639557939018.625,162138811.0979146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61050.561392568336,0.0,0.0
oecd-ex-us,2025,56603431199798.375,373603082.6157364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40746.2474376583,0.0,0.0
china,2025,55610130372156.73,723333573.4440682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23526.530999766437,0.0,0.0
india,2025,13432790794733.725,696813286.2778133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7962.740251283043,0.0,0.0
latam,2025,12113727717431.943,286095852.0302951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14201.148310712375,0.0,0.0
seasia,2025,11793890747867.21,315002617.1195088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12765.330691481528,0.0,0.0
russia,2025,11571800464167.205,138151881.7280025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20297.66333329072,0.0,0.0
mena,2025,11255423634219.51,208459570.59207657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20496.517103421746,0.0,0.0
ssa,2025,3186481932811.3413,382842660.2026748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3497.158670690358,0.0,0.0
us,2026,42678146345115.21,165496216.10310102,942258.3709978288,2009709087373.9312,2138811110249.9873,232541106229.20477,389146550472.8816,0.0,11084984728.968027,2371352216479.192,0.0,61980.16024673619,-361643129105.26074,27503421367.62085
oecd-ex-us,2026,56160736461575.56,378368035.427815,1321888.7014311936,2379095531413.2886,2875188063695.157,322664202387.6927,361242911914.0762,0.0,14819084532.634474,3197852266082.85,0.0,41618.333088470004,-818756734669.5615,-457513822755.48535
