region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
us,2025,54270429538528.625,163468667.3197481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61050.561392568336,0.0,0.0
oecd-ex-us,2025,70249172224026.664,382715206.5144276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40746.2474376583,0.0,0.0
china,2025,67574039827332.52,754690317.0381244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23526.530999766437,0.0,0.0
india,2025,16298016184242.94,758253586.7746348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7962.740251283043,0.0,0.0
latam,2025,14758270836849.408,304226941.7672932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14201.148310712375,0.0,0.0
seasia,2025,14443854263890.363,338611634.74681383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12765.330691481528,0.0,0.0
russia,2025,14561573427876.713,139645266.8252507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20297.66333329072,0.0,0.0
mena,2025,13727595519780.936,222635280.40974152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20496.517103421746,0.0,0.0
ssa,2025,4038436962647.121,444568199.96648616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3497.158670690358,0.0,0.0
us,2026,54239514557158.125,166927858.18050712,942258.3709978287,2474538093222.583,2718007769891.999,300523339985.2496,498444148196.49646,0.0,14633887087.674913,3018531109877.2485,0.0,61980.16024673619,-543993016654.6655,-45548868458.16907
oecd-ex-us,2026,69679627805989.49,388233867.8746305,1321888.7014311934,2852627277095.6265,3520547155674.678,377844690338.71014,460783681575.00867,0.0,15436469305.582226,3898391846013.388,0.0,41618.333088470004,-1045764568917.7617,-584980887342.753
china,2026,67090454779127.92,761889093.3617086,0.0,3227300429698.0684,3405527914269.8003,365231511494.4407,0.0,25478329839.251694,85352277700.75316,3770759425764.241,0.0,24228.855750619772,-543458996066.17285,-568937325905.4246
india,2026,17202051984091.977,778397660.6508629,0.0,2175305667702.5283,982443926215.3263,227238649586.37094,0.0,72955841997.25949,11368549945.461542,1209682575801.6973,0.0,8334.796268499304,965623091900.831,892667249903.5715
latam,2026,15016476881968.248,309911307.48782,0.0,1177028502675.2644,787100448445.0304,114184304163.06604,0.0,23666355395.62685,6128650447.305355,901284752608.0964,0.0,14736.250277982586,275743750067.16797,252077394671.5411
seasia,2026,14857102590005.457,345582264.2807318,0.0,1295708197211.924,771992246312.8912,110278361180.94427,0.0,7250588087.873454,7061324484.892882,882270607493.8354,0.0,13267.526588403778,413437589718.0886,406187001630.21515
russia,2026,14604254898957.352,142376758.5560886,203659.67093260528,819479068912.8121,732463826126.901,85419610791.45218,34207372133.63545,0.0,6878466952.547133,817883436918.3531,0.0,20949.93751363234,1595631994.4589844,35803004128.09444
mena,2026,14691001860316.475,229863247.38124976,279603.65663837205,1959075514806.5234,834790678271.6991,213197233857.36636,42786830923.034966,0.0,9531906935.047949,1047987912129.0654,0.0,21152.088069819238,911087602677.458,953874433600.4929
ssa,2026,4619447387162.954,471103577.885815,0.0,831490662407.356,221460331819.95462,29932041564.6941,0.0,4411114275.307099,5323249768.436023,251392373384.6487,0.0,3706.02193117199,580098289022.7073,575687174747.4001
us,2027,54181106214054.195,169202027.075986,1876385.109310421,2450569661593.75,2720138145918.8228,301535240935.049,497152478393.68665,0.0,15542903762.48082,3001105222224.4424,20568164629.428944,62923.70303705832,-550535560630.6924,-73951246866.43468
oecd-ex-us,2027,69089640564467.89,389236706.9107023,2618449.35617851,2822124375645.261,3506621451216.3623,374824843469.692,454402639223.0283,0.0,14932038296.167244,3862949182743.2188,18497111942.835457,42505.07432557021,-1040824807097.9575,-604919279817.7646
china,2027,67534254320366.71,758191416.477752,0.0,3126841978285.8433,3378406858345.7725,370523592982.7683,0.0,21495815363.967102,1087383829645.4934,3748930451328.541,0.0,24946.710040432743,-622088473042.6978,-643584288406.6648
india,2027,18072767112054.387,788062357.0266844,0.0,2171520263403.8267,1004989378447.3026,243127200732.97324,0.0,64273787962.840904,11585231701.69826,1248116579180.276,0.0,8720.209769160245,923403684223.5508,859129896260.7098
latam,2027,15258878062157.72,311483914.8849567,0.0,1166279586833.1558,791997105409.6578,115929668619.94664,0.0,21973118356.80889,6021485742.72461,907926774029.6045,0.0,15286.446916063733,258352812803.55127,236379694446.74237
seasia,2027,15248654203156.684,348088049.0115688,0.0,1284296980466.2034,781392291851.3071,112560080868.23605,0.0,5805586813.230774,7012592217.787562,893952372719.5432,0.0,13784.578329939995,390344607746.66016,384539020933.4294
russia,2027,14641252149872.287,144123489.48086154,395955.13785177254,816927336361.3115,733330090820.113,85661195113.20686,32499177672.543144,0.0,6562022814.4003,817569523014.3165,1421762919.0033555,21617.743494906772,-642186653.0050049,30435228100.534782
mena,2027,15588390682229.904,234164379.23420942,418506.85678743233,1961951515667.062,862401296637.5118,229532425874.23056,22025087814.510605,0.0,5345940943.593644,1089419898331.903,2513824179.8394556,21823.19412143207,872531617335.159,892042880969.8302
ssa,2027,5196872301922.567,492510972.63810176,0.0,849847316315.7411,236449627350.26688,32898934543.275528,0.0,8230967528.76386,5157127866.181302,269348561893.54242,0.0,3924.81990741194,580498754422.1987,572267786893.4348
us,2028,54114481413140.35,170354467.2650064,2842353.5494088484,2426036598012.334,2721601248071.578,302350698693.97296,517036048146.6598,0.0,14254499692.699293,2983028445820.5586,40923500944.9924,63881.398876560765,-556991847808.2246,-80879300606.55722
oecd-ex-us,2028,68472854565409.18,388436174.8888486,3879883.9902781122,2787192397660.5854,3491810061895.2134,371615174278.25244,444600170385.1201,0.0,14846669069.106094,3826817834314.09,36607401859.37468,43406.67576409311,-1039625436653.5044,-631632668127.7589
china,2028,66832180444815.45,751843667.4032925,0.0,3019660027351.4604,3357206876123.1597,365170218192.94995,0.0,26038163532.057804,26681354945.4431,3722377094316.1094,0.0,25680.32047045773,-702717066964.6489,-728755230496.7068
india,2028,18906641546880.082,796680883.1263683,0.0,2166812495629.7412,1027591252224.5195,258110102299.60223,0.0,57377554289.46124,10140848009.529495,1285701354524.1218,0.0,9119.297570303788,881111141105.6194,823733586816.1582
latam,2028,15482912889666.785,312103868.30987054,0.0,1154990359116.1929,796703197610.711,117500251298.45708,0.0,22671956962.53133,5919874264.587093,914203448909.1681,0.0,15852.009111984375,240786910207.02478,218114953244.49344
seasia,2028,15616947717675.193,349660894.81288093,0.0,1271792731168.2512,790524752395.5659,114678367773.29836,0.0,5287859662.746512,6991763181.880345,905203120168.8643,0.0,14316.766516730313,366589610999.38696,361301751336.64044
russia,2028,14672841375164.225,144777111.9619711,594167.579708478,811535190170.5687,734079535996.1364,85865192441.00597,33686291176.29209,0.0,6312472382.223836,817184264673.0936,2760463764.048707,22301.31967664412,-5649074502.524902,25276752909.718483
mena,2028,16423470585587.406,237623537.87466073,419827.5715987916,1961943601690.516,888689739810.5823,244767573803.89944,1323965453.7668424,0.0,5269649827.706567,1129718038425.8604,3739275188.6215,22510.072830855686,832225563264.6558,829810253529.8011
ssa,2028,5771809253045.5205,513999374.0544561,0.0,867758859882.1951,251687604669.71103,35859918826.72727,0.0,10174760854.296967,4900375591.491728,287547523496.4383,0.0,4153.888135378867,580211336385.7568,570036575531.4598
