region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
us,2025,61680720532469.55,163468667.3197481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88400.0,0.0,0.0
oecd-ex-us,2025,55965034727877.445,382715206.5144276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39600.0,0.0,0.0
china,2025,32943779556976.082,754690317.0381244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13400.0,0.0,0.0
india,2025,4785150667411.713,758253586.7746348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2640.0,0.0,0.0
latam,2025,9342194945165.611,304226941.7672932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10400.0,0.0,0.0
seasia,2025,5723198969978.479,338611634.74681383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5820.0,0.0,0.0
russia,2025,4266048968412.3022,139645266.8252507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7480.0,0.0,0.0
mena,2025,4347589431198.1245,222635280.40974152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7560.0,0.0,0.0
ssa,2025,1719173758667.0684,444568199.96648616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620.0,0.0,0.0
us,2026,61733142122410.63,166927858.18050712,942258.3709978287,2910018831464.534,3092687561567.3086,344145431380.01794,562596903269.3436,0.0,16638848154.532228,3436832992947.3267,0.0,89746.04067241945,-526814161482.7925,35782741786.55115
oecd-ex-us,2026,55526677201781.2,388233867.8746305,1321888.7014311934,2312168333737.0083,2809785517300.678,303576578770.5999,350543579554.74725,0.0,12292656683.33273,3113362096071.2783,0.0,40690.17662341509,-801193762334.27,-450650182779.52277
china,2026,32661235444134.375,761889093.3617086,0.0,1530029019744.4133,1663746064295.559,178956053165.3495,0.0,11497116645.639925,41626101520.40459,1842702117460.9087,0.0,13994.521163821468,-312673097716.49536,-324170214362.1353
india,2026,5041386406159.678,778397660.6508629,0.0,629378898211.0729,290139567866.9008,67289643295.611496,0.0,19078303489.390503,3364355188.796552,357429211162.5123,0.0,2825.1381177060907,271949687048.56055,252871383559.17004
latam,2026,9493006384774.678,309911307.48782,0.0,734158436902.6437,500540188593.73486,72959655001.56381,0.0,13743143682.990662,3895989984.7089763,573499843595.2987,0.0,10902.790223464619,160658593307.34497,146915449624.3543
seasia,2026,5868402956994.733,345582264.2807318,0.0,496381420283.32324,307299980886.04694,44072185822.84824,0.0,2620536407.27011,2815269849.0922804,351372166708.8952,0.0,6154.729305400261,145009253574.42804,142388717167.15793
russia,2026,4282970114854.943,142376758.5560886,203659.67093260528,244998978927.05588,214870797347.61618,25160242804.769386,9936447368.529346,0.0,2016760299.4413903,240031040152.38556,0.0,7880.483984467789,4967938774.670319,14904386143.199665
mena,2026,4634481295886.85,229863247.38124976,279603.65663837205,606745498408.2305,266763811316.9375,68653625806.26256,12526918929.703793,0.0,3036884473.993968,335417437123.2001,0.0,7963.496351560596,271328061285.0304,283854980214.7342
ssa,2026,1957754646713.614,471103577.885815,0.0,345411161650.72455,94673643993.06737,12822791667.80315,0.0,1621102780.6495433,2287264837.341048,107496435660.87051,0.0,1746.3532878788344,237914725989.85403,236293623209.2045
us,2027,61746285000956.24,169202027.075986,1876385.109310421,2877387902752.213,3097188749745.932,345857552876.68567,561131336466.2548,0.0,17669941949.747364,3419807346209.806,23238956412.8117,91112.271887365,-542419443457.59326,-4527063404.1502
oecd-ex-us,2027,55066813443577.94,389236706.9107023,2618449.35617851,2282479843487.0356,2798733631301.2803,301186816932.4798,345689097700.1832,0.0,11887748843.2505,3085836179544.585,14084268689.175495,41802.67165103969,-803356336057.5493,-471751507046.54156
china,2027,32832762920902.18,758191416.477752,0.0,1480493798814.4746,1649274452658.4465,181314424212.7045,0.0,9699695703.447327,531322250527.95044,1830588876871.1511,0.0,14609.167890916102,-350095078056.6765,-359794773760.12384
india,2027,5286610042106.711,788062357.0266844,0.0,626903326654.811,296483549312.43115,71815284613.89883,0.0,16809931031.388885,3429074249.942839,368298833926.32996,0.0,3020.8620758165384,258604492728.48108,241794561697.0922
latam,2027,9633064566646.18,311483914.8849567,0.0,726222212266.1914,503253691822.6851,73977064807.15085,0.0,12760681447.37807,3827407682.519598,577230756629.8359,0.0,11424.347340492875,148991455636.35547,136230774188.9774
seasia,2027,6005290862397.699,348088049.0115688,0.0,491526673240.09814,310478395372.0156,44858187327.769714,0.0,2097417229.3213007,2795232091.9768376,355336582699.78534,0.0,6504.705367941359,136190090540.3128,134092673310.9915
russia,2027,4297864326250.8687,144123489.48086154,395955.13785177254,244017554180.03983,215228398944.49915,25259014457.40195,9440324832.539356,0.0,1923745785.249767,240074073120.17648,413340281.7245751,8297.77023168526,3943481059.8633423,12970465610.678123
mena,2027,4901305098620.71,234164379.23420942,418506.85678743233,607159477906.9758,274887665001.0932,73598568730.08488,6448124641.294971,0.0,1702433916.7664466,347744799147.3634,741434583.8146971,8383.860359316734,259414678759.61243,265121368817.0927
ssa,2027,2194284693642.7915,492510972.63810176,0.0,352198166593.0456,100811381245.24829,14048048539.725569,0.0,3023368682.31544,2214678803.4216237,114859429784.97386,0.0,1880.8619992004667,237338736808.07172,234315368125.7563
us,2028,61742343636613.9,170354467.2650064,2842353.5494088484,2844351115513.0605,3100775576893.2427,347286776779.7894,583566375557.4196,0.0,16203498260.189196,3401832215690.5674,46230137982.464836,92498.99643634386,-557481100177.5068,-20144862602.552116
oecd-ex-us,2028,54580933302229.18,388436174.8888486,3879883.9902781122,2249530319022.318,2786845709537.41,298613139196.3624,338231734038.1373,0.0,11816654324.585423,3057588690363.57,27870158370.202454,42937.798777947224,-808058371341.252,-497696795673.3171
china,2028,32445897247538.797,751843667.4032925,0.0,1427968619311.4695,1637621371025.5737,178472490315.25232,0.0,11745933601.625673,13005502267.579464,1816093861340.8262,0.0,15244.38456411377,-388125242029.3567,-399871175630.98236
india,2028,5519980355474.032,796680883.1263683,0.0,624224376244.7744,302788873841.44543,76062432177.18228,0.0,15004293949.270279,3001537090.444459,378851306018.6277,0.0,3227.622480749892,245373070226.14673,230368776276.87646
latam,2028,9760993484370.55,312103868.30987054,0.0,718020681294.7981,505812295914.73987,74877502016.4499,0.0,13164075316.36265,3762109677.128317,580689797931.1898,0.0,11965.138384237656,137330883363.60828,124166808047.24562
seasia,2028,6133323757505.128,349660894.81288093,0.0,486279558264.59607,313543012522.8663,45580274252.98646,0.0,1909348076.6543365,2785971695.339003,359123286775.8527,0.0,6870.41567416437,127156271488.74335,125246923412.089
russia,2028,4310807312826.3213,144777111.9619711,594167.579708478,242197284960.6372,215544982981.72577,25344405008.136143,9785222353.082565,0.0,1849867251.5925627,240086944768.1818,802443221.6801244,8732.342915513833,2110340192.4554138,11093119323.857855
mena,2028,5149256617091.837,237623537.87466073,419827.5715987916,606696499945.1066,282607063892.1843,78203179954.24573,387591525.9190418,0.0,1677670846.5311356,359707818713.902,1102425132.5280044,8821.575871943061,246988681231.2046,246273847624.5956
ssa,2028,2429150941730.635,513999374.0544561,0.0,358802982975.5052,107036881629.31943,15268247640.222021,0.0,3735602927.439561,2103997309.3201978,122305129269.54144,0.0,2023.9294798406095,236497853705.96375,232762250778.52417
us,2029,61681369025114.875,171400651.4481304,3774077.2297177645,2807829821521.8315,3104269204865.1646,348494878617.64453,566703039079.25,0.0,17256611382.746235,3382811377796.784,69952705686.02524,93906.52165373667,-574981556274.9526,-78231222881.72787
oecd-ex-us,2029,54058259618139.56,387426511.0286184,5087325.642529353,2209739128496.544,2773948879850.929,295839371243.1272,325751394823.96277,0.0,11624043683.908695,3028536406665.671,41251844428.3859,44095.875379042096,-818797278169.127,-534297727773.5501
china,2029,32017822728401.496,744989866.8142389,0.0,1369335899998.768,1624674934403.3809,175436971656.30746,0.0,9978839771.036627,12680326694.698631,1800111906059.6882,0.0,15900.619179530266,-430776006060.92017,-440754845831.9568
