region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
us,2025,42597767144857.26,163468667.3197481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61050.561392568336,0.0,0.0
oecd-ex-us,2025,57584978608061.44,382715206.5144276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40746.2474376583,0.0,0.0
china,2025,57839764999751.484,754690317.0381244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23526.530999766437,0.0,0.0
india,2025,14432921146914.07,758253586.7746348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7962.740251283043,0.0,0.0
latam,2025,12756720765758.104,304226941.7672932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14201.148310712375,0.0,0.0
seasia,2025,12553011591910.963,338611634.74681383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12765.330691481528,0.0,0.0
russia,2025,11576313599487.303,139645266.8252507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20297.66333329072,0.0,0.0
mena,2025,11787095388255.021,222635280.40974152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20496.517103421746,0.0,0.0
ssa,2025,3711249022559.1807,444568199.96648616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3497.158670690358,0.0,0.0
us,2026,42669105128190.03,166998026.68050712,942258.3709978289,2044843321524.6702,2135863256170.7847,237672757765.1322,388539600848.538,0.0,11491074895.47347,2373536013935.917,0.0,61980.16024673619,-328692692411.2468,59846908437.2912
oecd-ex-us,2026,57180006731443.28,388381514.8246305,1321888.7014311934,2425169735014.5205,2891116564007.126,312363797850.11694,360690274697.1896,0.0,12648475527.405304,3203480361857.243,0.0,41618.333088470004,-778310626842.7227,-417620352145.5331
china,2026,57393450899325.23,762161735.3617095,0.0,2736053182335.556,2921057713237.975,314195159133.6152,0.0,20197825899.130444,73083415508.89754,3235252872371.5903,0.0,24228.855750619772,-499199690036.0342,-519397515935.1646
india,2026,15232724277399.14,778892640.4008627,0.0,1925326871493.8171,875115914978.6515,202958314835.0167,0.0,57597043953.199905,10147532758.122417,1078074229813.6682,0.0,8334.796268499304,847252641680.1489,789655597726.949
latam,2026,12979088822674.857,310071558.2878201,0.0,1018939209818.603,683485139778.035,99626046286.11684,0.0,18779921798.26153,5319954960.567571,783111186064.1519,0.0,14736.250277982586,235828023754.45117,217048101956.18964
seasia,2026,12887774316982.87,345754500.58073175,0.0,1105024736163.8806,674018192009.6808,96665983904.65321,0.0,5752723598.498425,6174888420.862362,770684175914.334,0.0,13267.526588403778,334340560249.54663,328587836651.0482
russia,2026,11631823786117.307,142434414.70608857,203659.6709326053,674420236913.5869,583071538063.8567,68274617357.62827,26963441824.799526,0.0,5472663313.102625,651346155421.485,0.0,20949.93751363234,23074081492.10193,50037523316.90146
mena,2026,12586116517049.178,230002189.53124973,279603.6566383721,1666201410899.3303,723244579527.987,186132303644.17688,33963062103.730938,0.0,8233538963.271418,909376883172.164,0.0,21152.088069819238,756824527727.1664,790787589830.8973
ssa,2026,4232905756281.8223,471407927.1858153,0.0,752278921571.8419,204375774676.6714,27681072261.42833,0.0,3502950823.4903054,4937609912.390349,232056846938.09973,0.0,3706.02193117199,520222074633.7422,516719123810.2519
us,2027,42726470720846.68,169370065.48533976,1876385.110283055,2036588776979.4377,2139896228538.6658,239058172626.16425,387528050816.00446,0.0,12203166026.043291,2362905159441.8154,16049241723.014378,62923.70303705832,-326316382462.3777,45162426630.6124
oecd-ex-us,2027,56769914450255.945,389589219.30687225,2618449.3561086273,2413085102753.0645,2880941414493.9414,310163070078.64886,355695253261.38293,0.0,12231847370.80028,3176612538063.926,14491946508.664473,42505.07432557021,-763527435310.8613,-422324128558.1429
china,2027,57762298468308.58,758840794.3299043,0.0,2668539239025.431,2896913361869.066,318573486740.8623,0.0,17053451775.368965,932848630343.2001,3215486848609.928,0.0,24946.710040432743,-546947609584.4971,-564001061359.8661
india,2027,16009014686933.455,789242340.2964039,0.0,1928923775936.1147,895076767415.0626,217091092003.00095,0.0,50808273859.95268,10342766876.208231,1112167859418.0635,0.0,8720.209769160245,816755916518.0513,765947642658.0986
latam,2027,13192829519672.29,311866904.8548838,0.0,1014764345290.6697,687638354421.2451,101157514709.53609,0.0,17454090268.38481,5226311105.921601,788795869130.7812,0.0,15286.446916063733,225968476159.88843,208514385891.5036
seasia,2027,13210313158640.393,348500098.2903014,0.0,1100964437941.8657,681432845397.7117,98514596880.91827,0.0,4609094606.044396,6130940600.338813,779947442278.6299,0.0,13784.578329939995,321016995663.23584,316407901057.19147
russia,2027,11685347643034.023,144261236.12564293,395955.1376886673,675575992056.9529,584296541851.0748,68593002857.44713,25617149637.01552,0.0,5220259931.266053,651767908656.0181,1121636052.5039241,21617.743494906772,23808083400.934814,48303596985.44641
mena,2027,13338315627672.178,234495641.73901373,418506.8586209322,1675981241834.1255,745933648805.0388,199946503184.18286,17482416788.482975,0.0,4615603989.601405,943869967205.6033,2010184783.6184237,21823.19412143207,732111274628.5222,747583506633.3868
ssa,2027,4752722816447.479,493244464.27882975,0.0,769744544620.1465,217806786013.88007,30362974472.78649,0.0,6538643156.105692,4780919188.28128,248169760486.66656,0.0,3924.81990741194,521574784133.4799,515036140977.3742
us,2028,42784879043910.25,170647963.75616223,2842353.553527692,2028185406346.413,2143667571824.0413,240322983537.13245,403022808520.149,0.0,11190663558.165194,2352063167623.6553,31927387737.518684,63881.398876560765,-323877761277.2422,47217659505.388115
oecd-ex-us,2028,56349541736883.42,389050023.65120715,3879883.989967753,2397690900268.853,2870378333246.247,307866234694.11346,348021997260.0705,0.0,12158957038.873705,3149567691407.4263,28676876532.935055,43406.67576409311,-751876791138.5732,-432531670411.4378
china,2028,57167898959340.94,752971527.9100313,0.0,2595547721514.7183,2878204393238.337,313906141659.04565,0.0,20671132289.02255,22834436704.06393,3192110534897.383,0.0,25680.32047045773,-596562813382.6646,-617233945671.6871
india,2028,16758921084287.12,798733223.3210889,0.0,1932058516417.19,915241689501.8466,230553510614.19995,0.0,45410700711.063705,9053781763.594292,1145795200116.0464,0.0,9119.297570303788,786263316301.1436,740852615590.0798
