region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
us,2025,42593552055467.93,163452491.94034946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61050.561392568336,0.0,0.0
oecd-ex-us,2025,57564672464389.14,382580249.9657423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40746.2474376583,0.0,0.0
china,2025,57838811140022.55,754677871.1248118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23526.530999766437,0.0,0.0
india,2025,14432490060901.299,758230939.0713685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7962.740251283043,0.0,0.0
latam,2025,12755488392877.432,304197551.68817425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14201.148310712375,0.0,0.0
seasia,2025,12552388385440.74,338594824.0428543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12765.330691481528,0.0,0.0
russia,2025,11575083187763.234,139630424.34780416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20297.66333329072,0.0,0.0
mena,2025,11786144405483.094,222617318.19690472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20496.517103421746,0.0,0.0
ssa,2025,3711221522564.952,444564905.759372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3497.158670690358,0.0,0.0
us,2026,42627383399918.16,166906627.1209027,942258.3709978287,2007103487105.5715,2135651910479.4146,237649239820.72968,388539069802.05347,0.0,11489937842.73314,2373301150300.144,0.0,61980.16024673619,-366197663194.5725,22341406607.480957
oecd-ex-us,2026,57113413333458.6,388095831.36957633,1321888.7014311936,2377757286180.9023,2890097071949.6245,312253649260.8407,360690288793.1609,0.0,12644015305.876993,3202350721210.4653,0.0,41618.333088470004,-824593435029.563,-463903146236.4021
china,2026,57343022030489.89,761877999.03779,0.0,2686513881955.353,2921009540854.869,314189977609.98193,0.0,20185683282.98239,73082210259.7596,3235199518464.851,0.0,24228.855750619772,-548685636509.49805,-568871319792.4805
india,2026,15204893042477.889,778366498.3230298,0.0,1897840713804.6597,875089776802.8345,202952252826.51468,0.0,57542932267.87267,10147229669.136356,1078042029629.3491,0.0,8334.796268499304,819798684175.3105,762255751907.4379
latam,2026,12960995650048.941,309877404.1491093,0.0,1001989206441.2977,683419111167.2285,99616421834.82503,0.0,18765857289.94072,5319441022.202041,783035533002.0536,0.0,14736.250277982586,218953673439.24414,200187816149.3034
seasia,2026,12871464380873.732,345571535.86093205,0.0,1089295282063.8098,673984729720.9508,96661184827.85962,0.0,5747953944.510726,6174581862.520675,770645914548.8104,0.0,13267.526588403778,318649367514.9994,312901413570.48865
russia,2026,11620898990585.549,142361050.83809257,203659.67093260525,664657189130.3743,583009565135.2344,68267360652.89826,26963457839.965515,0.0,5472081640.099002,651276925788.1327,0.0,20949.93751363234,13380263342.241577,40343721182.20709
mena,2026,12561928225687.28,229831807.06058973,279603.65663837205,1642891765509.4922,723186228160.4648,186117286491.24533,33962694664.987473,0.0,8232874681.406544,909303514651.7102,0.0,21152.088069819238,733588250857.782,767550945522.7694
ssa,2026,4226330540882.608,471103705.4303695,0.0,745726152320.4843,204374260272.0627,27680867147.37568,0.0,3499579908.572836,4937573325.181234,232055127419.4384,0.0,3706.02193117199,513671024901.0459,510171444992.4731
