region,year,mig_in_head,mig_out_head,mig_in_gross,mig_out_gross,mig_in_years,entrants,entrant_years,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
us,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42593743242675.016,163453225.6200712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61050.561392568336,0.0,0.0
oecd-ex-us,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57587274887496.93,382730467.80443096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40746.2474376583,0.0,0.0
china,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57838778283847.02,754677442.4191014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23526.530999766437,0.0,0.0
india,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14433557949493.164,758287042.0838368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7962.740251283043,0.0,0.0
latam,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12757509109106.215,304245742.4677445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14201.148310712375,0.0,0.0
seasia,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12552243967108.41,338590928.4256767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12765.330691481528,0.0,0.0
russia,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11574874569952.682,139627907.78762552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20297.66333329072,0.0,0.0
mena,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11785955753917.924,222613754.9361752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20496.517103421746,0.0,0.0
ssa,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3711130096787.453,444553953.9226491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3497.158670690358,0.0,0.0
us,2026,942258.3709978288,0.0,528002322646.4217,0.0,26307585.822640397,4004495.9450000003,152411371.38254938,42625561023697.42,166903353.9145941,942258.3709978288,2005100553486.4622,2135661496656.2952,237650306543.09088,388539041318.3959,0.0,11489989416.950823,2373311803199.386,0.0,61980.16024673619,-368211249712.9241,20327791605.4718
oecd-ex-us,2026,1321888.7014311936,0.0,488142978634.85516,0.0,37489021.3121243,7594252.245,292619628.7734034,57126842505865.68,388219321.34733117,1321888.7014311936,2369836451990.6943,2891231851216.9497,312376253781.9023,360690291474.295,0.0,12648979902.590408,3203608104998.852,0.0,41618.333088470004,-833771653008.1577,-473081361533.86273
china,2026,0.0,207118.40000000005,0.0,42250527677.273964,0.0,14710795.36,570605318.5624447,57341565899493.51,761869765.0326651,0.0,2685088461308.7017,2921007881533.033,314189799129.80817,0.0,20185333743.73265,73082168744.35004,3235197680662.8413,0.0,24228.855750619772,-550109219354.1396,-570294553097.8723
india,2026,0.0,1867756.8000000007,0.0,126535499210.29317,0.0,34781130.075,1131076150.4307754,15205332740306.133,778411562.6461985,0.0,1897290174594.7302,875154526432.7017,202967269666.61465,0.0,57541568165.25905,10147980482.804468,1078121796099.3163,0.0,8334.796268499304,819168378495.414,761626810330.1549
latam,2026,0.0,329441.6000000003,0.0,39979922408.47225,0.0,9767454.41,357724840.30614203,12963518647452.756,309931097.8048403,0.0,1002615082968.8694,683527377981.2043,99632203004.00145,0.0,18766247361.744,5320283724.611441,783159580985.2058,0.0,14736.250277982586,219455501983.66357,200689254621.9196
seasia,2026,0.0,110576.79999999994,0.0,12028748679.25772,0.0,11504320.7,421727585.590193,12869682821922.805,345550276.542356,0.0,1087648848387.0968,673976975359.9735,96660072717.02592,0.0,5747456318.118145,6174510822.429499,770637048076.9994,0.0,13267.526588403778,317011800310.0974,311264343991.97925
russia,2026,203659.67093260528,0.0,36744370887.59797,0.0,5624591.85851467,3969488.8600000003,149660525.77413166,11616508734029.299,142333358.44787788,203659.67093260528,660463904124.1499,582999057549.497,68266130269.74847,26963464754.988743,0.0,5471983016.730822,651265187819.2454,0.0,20949.93751363234,9198716304.904541,36162181059.89328
mena,2026,279603.65663837205,0.0,48753734367.07361,0.0,6348605.438018995,10757866.765,340859417.4527761,12560735295123.385,229821630.47254857,279603.65663837205,1641873079523.7742,723174652685.979,186114307457.88257,33962678921.306644,0.0,8232742904.241667,909288960143.8616,0.0,21152.088069819238,732584119379.9126,766546798301.2192
