region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
us,2025,42597767144857.26,163468667.3197481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61050.561392568336,0.0,0.0
oecd-ex-us,2025,57584978608061.44,382715206.5144276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40746.2474376583,0.0,0.0
china,2025,57839764999751.484,754690317.0381244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23526.530999766437,0.0,0.0
india,2025,14432921146914.07,758253586.7746348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7962.740251283043,0.0,0.0
latam,2025,12756720765758.104,304226941.7672932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14201.148310712375,0.0,0.0
seasia,2025,12553011591910.963,338611634.74681383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12765.330691481528,0.0,0.0
russia,2025,11576313599487.303,139645266.8252507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20297.66333329072,0.0,0.0
mena,2025,11787095388255.021,222635280.40974152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20496.517103421746,0.0,0.0
ssa,2025,3711249022559.1807,444568199.96648616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3497.158670690358,0.0,0.0
us,2026,42245431293190.75,165985599.80950928,0.0,2009709087373.9312,2135863256170.7847,237672757765.1322,0.0,0.0,11491074895.47347,2373536013935.917,0.0,61980.16024673619,-363826926561.98584,-363826926561.98584
oecd-ex-us,2026,56773242253144.85,386911979.1731993,0.0,2379095531413.2886,2891116564007.126,312363797850.11694,0.0,0.0,12648475527.405304,3203480361857.243,0.0,41618.333088470004,-824384830443.9546,-824384830443.9546
china,2026,57363884734199.22,762096211.7617086,0.0,2686289191310.387,2921057713237.975,314195159133.6152,0.0,0.0,73083415508.89754,3235252872371.5903,0.0,24228.855750619772,-548963681061.2031,-548963681061.2031
india,2026,15263320467318.172,780265417.4508636,0.0,1898326017459.6528,875115914978.6515,202958314835.0167,0.0,0.0,10147532758.122417,1078074229813.6682,0.0,8334.796268499304,820251787645.9846,820251787645.9846
latam,2026,12981419231386.754,310240749.08782,0.0,1002489696732.2322,683485139778.035,99626046286.11684,0.0,0.0,5319954960.567571,783111186064.1519,0.0,14736.250277982586,219378510668.08032,219378510668.08032
seasia,2026,12877243366105.441,345692841.08073187,0.0,1088741061687.955,674018192009.6808,96665983904.65321,0.0,0.0,6174888420.862362,770684175914.334,0.0,13267.526588403778,318056885773.621,318056885773.621
russia,2026,11595267218510.12,142173098.885156,0.0,664827111131.199,583071538063.8567,68274617357.62827,0.0,0.0,5472663313.102625,651346155421.485,0.0,20949.93751363234,13480955709.71399,13480955709.71399
mena,2026,12530948007743.006,229583643.7246114,0.0,1644995963696.8845,723244579527.987,186132303644.17688,0.0,0.0,8233538963.271418,909376883172.164,0.0,21152.088069819238,735619080524.7206,735619080524.7206
ssa,2026,4229782649064.3716,471336094.6858153,0.0,745652863530.9015,204375774676.6714,27681072261.42833,0.0,0.0,4937609912.390349,232056846938.09973,0.0,3706.02193117199,513596016592.80176,513596016592.80176
us,2027,41882987077482.625,167325641.96667558,0.0,1987173606416.374,2125029842072.3752,236747967209.7278,0.0,0.0,12159987157.60423,2361777809282.103,0.0,62923.70303705832,-374604202865.729,-374604202865.729
oecd-ex-us,2027,55958833907821.23,386618257.55452377,0.0,2348547688742.1797,2867002524557.1274,308155165437.8664,0.0,0.0,12201655929.154781,3175157689994.9937,0.0,42505.07432557021,-826610001252.814,-826610001252.814
china,2027,57681280307582.09,758569212.6919805,0.0,2599319645729.1577,2896634947049.3467,318440787491.6285,0.0,0.0,933151662194.7148,3215075734540.975,0.0,24946.710040432743,-615756088811.8174,-615756088811.8174
india,2027,16049984141196.367,791505031.1238506,0.0,1890859224552.0854,897333982773.3712,217243120499.47214,0.0,0.0,10381552598.948915,1114577103272.8433,0.0,8720.209769160245,776282121279.2422,776282121279.2422
latam,2027,13189024731155.516,312113202.22950983,0.0,991652821435.1757,688137268119.0165,101143989304.13,0.0,0.0,5233935756.728965,789281257423.1465,0.0,15286.446916063733,202371564012.02917,202371564012.02917
seasia,2027,13181764460101.113,348283946.3678293,0.0,1078092874156.9825,681276336697.237,98429024648.38882,0.0,0.0,6133581184.314609,779705361345.6259,0.0,13784.578329939995,298387512811.3567,298387512811.3567
russia,2027,11611183571101.633,143727534.34300974,0.0,662163925422.3898,583064322602.4701,68398606708.38043,0.0,0.0,5215356479.971144,651462929310.8506,0.0,21617.743494906772,10700996111.539185,10700996111.539185
mena,2027,13238876776264.166,233745872.377422,0.0,1646118336431.8713,743791357324.3888,199007217192.79306,0.0,0.0,4609006606.464082,942798574517.1819,0.0,21823.19412143207,703319761914.6895,703319761914.6895
ssa,2027,4746731251137.765,493143213.81480473,0.0,760304242038.3436,217791829279.2819,30348255064.568386,0.0,0.0,4784444378.90023,248140084343.85028,0.0,3924.81990741194,512164157694.49335,512164157694.49335
us,2028,41509088878105.766,167512113.71559757,0.0,1964357832575.23,2113689198768.353,235674676019.359,0.0,0.0,11107842835.632055,2349363874787.712,0.0,63881.398876560765,-385006042212.48193,-385006042212.48193
oecd-ex-us,2028,55139482057501.92,384556290.8985705,0.0,2314644419126.2065,2842275711322.466,303816847771.9699,0.0,0.0,12096289648.946629,3146092559094.4355,0.0,43406.67576409311,-831448139968.229,-831448139968.229
china,2028,57020733050993.65,752422124.0420581,0.0,2507100596188.43,2876963391333.7217,313533427938.7499,0.0,0.0,22848966495.633595,3190496819272.4717,0.0,25680.32047045773,-683396223084.0415,-683396223084.0415
india,2028,16792423311154.229,801423361.277992,0.0,1882779002483.4531,918887606497.5219,230568077014.9185,0.0,0.0,9115850986.849615,1149455683512.4404,0.0,9119.297570303788,733323318971.0127,733323318971.0127
latam,2028,13379675031631.682,313027869.9216277,0.0,980453671656.3622,692469696878.6196,102485148526.73848,0.0,0.0,5151474225.160578,794954845405.3582,0.0,15852.009111984375,185498826251.00403,185498826251.00403
