region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
us,2025,42597767144857.26,163468667.3197481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61050.561392568336,0.0,0.0
oecd-ex-us,2025,57584978608061.44,382715206.5144276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40746.2474376583,0.0,0.0
china,2025,57839764999751.484,754690317.0381244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23526.530999766437,0.0,0.0
india,2025,14432921146914.07,758253586.7746348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7962.740251283043,0.0,0.0
latam,2025,12756720765758.104,304226941.7672932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14201.148310712375,0.0,0.0
seasia,2025,12553011591910.963,338611634.74681383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12765.330691481528,0.0,0.0
russia,2025,11576313599487.303,139645266.8252507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20297.66333329072,0.0,0.0
mena,2025,11787095388255.021,222635280.40974152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20496.517103421746,0.0,0.0
ssa,2025,3711249022559.1807,444568199.96648616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3497.158670690358,0.0,0.0
us,2026,42633970397063.08,166927858.18050712,942258.3709978287,2009709087373.9312,2135863256170.7847,237672757765.1322,388539103872.3291,0.0,11491074895.47347,2373536013935.917,0.0,61980.16024673619,-363826926561.98584,24712177310.34326
oecd-ex-us,2026,57133932541786.78,388233867.8746305,1321888.7014311934,2379095531413.2886,2891116564007.126,312363797850.11694,360690288641.9239,0.0,12648475527.405304,3203480361857.243,0.0,41618.333088470004,-824384830443.9546,-463694541802.0307
china,2026,57343699116947.6,761889093.3617086,0.0,2686289191310.387,2921057713237.975,314195159133.6152,0.0,20185617251.61033,73083415508.89754,3235252872371.5903,0.0,24228.855750619772,-548963681061.2031,-569149298312.8135
india,2026,15205776688863.19,778397660.6508629,0.0,1898326017459.6528,875115914978.6515,202958314835.0167,0.0,57543778454.986206,10147532758.122417,1078074229813.6682,0.0,8334.796268499304,820251787645.9846,762708009190.9984
latam,2026,12962653036992.76,309911307.48782,0.0,1002489696732.2322,683485139778.035,99626046286.11684,0.0,18766194393.998096,5319954960.567571,783111186064.1519,0.0,14736.250277982586,219378510668.08032,200612316274.0822
seasia,2026,12871495597406.494,345582264.2807318,0.0,1088741061687.955,674018192009.6808,96665983904.65321,0.0,5747768698.946721,6174888420.862362,770684175914.334,0.0,13267.526588403778,318056885773.621,312309117074.67426
russia,2026,11622230676185.97,142376758.5560886,203659.67093260528,664827111131.199,583071538063.8567,68274617357.62827,26963457675.85176,0.0,5472663313.102625,651346155421.485,0.0,20949.93751363234,13480955709.71399,40444413385.56575
mena,2026,12564910733681.61,229863247.38124976,279603.65663837205,1644995963696.8845,723244579527.987,186132303644.17688,33962725938.604683,0.0,8233538963.271418,909376883172.164,0.0,21152.088069819238,735619080524.7206,769581806463.3253
ssa,2026,4226283109777.069,471103577.885815,0.0,745652863530.9015,204375774676.6714,27681072261.42833,0.0,3499539287.301725,4937609912.390349,232056846938.09973,0.0,3706.02193117199,513596016592.80176,510096477305.50006
us,2027,42643047095179.85,169202027.075986,1876385.109310421,1987173606416.374,2138971854193.8455,238855178336.8954,387526958215.2376,0.0,12203166015.907375,2361777809282.103,16049223248.637781,62923.70303705832,-374604202865.729,-3126467899.129175
oecd-ex-us,2027,56660757731701.88,389236706.9107023,2618449.35617851,2348547688742.1797,2879744774068.128,309904862820.4927,355695290691.72986,0.0,12231847369.794308,3175157689994.9937,14491946893.626448,42505.07432557021,-826610001252.814,-485406657454.7106
china,2027,57644851840790.125,758191416.477752,0.0,2599319645729.1577,2895649741611.3228,318335777757.08923,0.0,17029865048.914543,932848462530.7079,3213985519368.412,0.0,24946.710040432743,-614665873639.2544,-631695738688.169
india,2027,15945417642090.998,788062357.0266844,0.0,1890859224552.0854,894250565133.8474,216608506610.7728,0.0,50701937289.74701,10342737710.097364,1110859071744.62,0.0,8720.209769160245,780000152807.4653,729298215517.7183
latam,2027,13153901788231.787,311483914.8849567,0.0,991652821435.1757,687190414950.72,101015314318.99324,0.0,17424647094.228046,5226306167.79029,788205729269.7133,0.0,15286.446916063733,203447092165.4624,186022445071.23434
seasia,2027,13171739477154.455,348088049.0115688,0.0,1078092874156.9825,680989585822.0493,98389964855.56813,0.0,4600382221.700575,6130938490.296313,779379550677.6174,0.0,13784.578329939995,298713323479.3651,294112941257.66455
russia,2027,11662647479465.305,144123489.48086154,395955.13785177254,662163925422.3898,584041922665.5918,68542643260.30321,25617183851.308544,0.0,5220259931.528837,651462929310.8506,1121636615.0445147,21617.743494906772,10700996111.539185,35196543347.803215
mena,2027,13288317960709.998,234164379.23420942,418506.85678743233,1646118336431.8713,745269805187.1133,199538931582.47952,17482023412.0764,0.0,4615603954.027879,942798574517.1819,2010162252.4108863,21823.19412143207,703319761914.6895,718791623074.355
ssa,2027,4736889964404.955,492510972.63810176,0.0,760304242038.3436,217625553102.52576,30326083183.32115,0.0,6526666667.934031,4780915543.32112,247951636285.84692,0.0,3924.81990741194,512352605752.4967,505825939084.5627
us,2028,42640325121132.87,170354467.2650064,2842353.5494088484,1964357832575.23,2141448978752.233,239842224961.7841,403020982325.86914,0.0,11190414765.927816,2349363874787.712,31927328926.305138,63881.398876560765,-385006042212.48193,-13912388812.91793
oecd-ex-us,2028,56160813477549.36,388436174.8888486,3879883.9902781122,2314644419126.2065,2867512748772.419,307256688329.0628,348022068848.13574,0.0,12158694974.615868,3146092559094.4355,28676878007.045227,43406.67576409311,-831448139968.229,-512102949127.1385
china,2028,56965627418616.28,751843667.4032925,0.0,2507100596188.43,2875190294874.121,313346162388.6046,0.0,20622467985.063007,22833906885.5039,3188536457262.7256,0.0,25680.32047045773,-681435861074.2954,-702058329059.3584
india,2028,16649306728342.707,796680883.1263683,0.0,1882779002483.4531,913268618703.7659,229418708449.9,0.0,45255793701.49128,9053204623.409523,1142687327153.6658,0.0,9119.297570303788,740091675329.7874,694835881628.296
