region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
us,2025,19194020848179.87,163468667.3197481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61050.561392568336,0.0,0.0
oecd-ex-us,2025,24587315589330.13,382715206.5144276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40746.2474376583,0.0,0.0
china,2025,23247069136112.273,754690317.0381244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23526.530999766437,0.0,0.0
india,2025,4945598960309.14,758253586.7746348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7962.740251283043,0.0,0.0
latam,2025,4903773130945.865,304226941.7672932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14201.148310712375,0.0,0.0
seasia,2025,4745578536817.545,338611634.74681383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12765.330691481528,0.0,0.0
russia,2025,5137662873993.751,139645266.8252507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20297.66333329072,0.0,0.0
mena,2025,4418951426384.29,222635280.40974152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20496.517103421746,0.0,0.0
ssa,2025,1112384097037.8423,444568199.96648616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3497.158670690358,0.0,0.0
us,2026,19179192624820.47,166927858.18050712,942258.3709978287,870387651382.7861,960774098229.0658,106119408663.04073,176504380724.95407,0.0,5173251424.954091,1066893506892.1066,0.0,61980.16024673619,-196505855509.32043,-20001474784.366364
oecd-ex-us,2026,24386941243059.832,388233867.8746305,1321888.7014311934,993889923699.2811,1230784389229.0178,131867896667.5688,162996353310.001,0.0,5391662616.997696,1362652285896.5867,0.0,41618.333088470004,-368762362197.30554,-205766008887.30453
china,2026,23108857458447.453,761889093.3617086,0.0,1135576932672.132,1168899107074.1494,125094080571.61751,0.0,9001642649.096735,29206219957.904644,1293993187645.7668,0.0,24228.855750619772,-158416254973.63477,-167417897622.7315
india,2026,5299738576086.756,778397660.6508629,0.0,737014781689.8948,292647355612.898,68176922355.42869,0.0,25351629159.34626,3300741215.3951283,360824277968.3267,0.0,8334.796268499304,376190503721.56805,350838874562.2218
latam,2026,5002949339648.694,309911307.48782,0.0,402895437287.2028,259816294749.5933,37610427504.47603,0.0,8299862544.1759615,2007356213.8681383,297426722254.06934,0.0,14736.250277982586,105468715033.13348,97168852488.95752
seasia,2026,4899676956721.189,345582264.2807318,0.0,441983393464.2294,251751362428.33142,35873655701.96494,0.0,2538724260.6698794,2278768830.3749733,287625018130.2964,0.0,13267.526588403778,154358375333.93298,151819651073.2631
russia,2026,5151200927644.41,142376758.5560886,203659.67093260528,287321436889.5035,258216689818.91852,30083782138.60024,12092954412.088284,0.0,2424134306.5845923,288300471957.51874,0.0,20949.93751363234,-979035068.0152588,11113919344.073025
mena,2026,4776210882778.303,229863247.38124976,279603.65663837205,671487459788.6611,264516033711.1318,67529991626.184494,14825072174.76749,0.0,2992949767.901705,332046025337.3163,0.0,21152.088069819238,339441434451.34485,354266506626.11237
ssa,2026,1305347993076.189,471103577.885815,0.0,261005248010.9081,59903469861.56839,8020250518.799441,0.0,1519577442.8443007,1401945850.6503332,67923720380.36783,0.0,3706.02193117199,193081527630.54028,191561950187.69598
us,2027,19154975962604.664,169202027.075986,1876385.109310421,862133223040.1279,961443619322.721,106453589735.05565,176052495369.80276,0.0,5494828432.049581,1060616703371.2728,7280505686.503792,62923.70303705832,-198483480331.1449,-29711490647.845924
oecd-ex-us,2027,24179914064401.71,389236706.9107023,2618449.35617851,983773061001.9706,1225943139550.4485,130813660565.78497,160740532004.4043,0.0,5216028451.731351,1350216676336.074,6540123780.159311,42505.07432557021,-366443615334.1034,-212243207109.8584
china,2027,23288722954855.383,758191416.477752,0.0,1100352983024.1245,1160364466732.833,127055882173.75395,0.0,7596061736.334186,374528924026.75433,1287420348906.587,0.0,24946.710040432743,-187067365882.4624,-194663427618.7966
india,2027,5640871332015.312,788062357.0266844,0.0,736705692574.7649,302077058477.2553,74486723185.9885,0.0,22373713322.5793,3364558339.6118684,376563781663.2438,0.0,8720.209769160245,360141910911.5211,337768197588.94183
latam,2027,5096660040435.477,311483914.8849567,0.0,399612790496.6751,261853162914.17676,38312708561.54393,0.0,7708962738.763177,1972744504.5932953,300165871475.7207,0.0,15286.446916063733,99446919020.9544,91737956282.19122
seasia,2027,5046286119210.616,348088049.0115688,0.0,438535040972.5645,255394269521.4462,36761531833.15649,0.0,2033948526.3558047,2263871397.8233023,292155801354.60266,0.0,13784.578329939995,146379239617.96185,144345291091.60605
russia,2027,5162855645693.859,144123489.48086154,395955.13785177254,286500562461.77356,258488234523.82336,30159397822.763306,11489046986.927982,0.0,2312740947.336082,288145262272.8655,502370073.721204,21617.743494906772,-1644699811.091919,9341977102.114859
mena,2027,5109810772669.998,234164379.23420942,418506.85678743233,673011835404.3643,275035787619.17,73693970050.73547,7636381128.577552,0.0,1681431028.6568687,347865202227.6754,864555442.2299817,21823.19412143207,325146633176.68884,331918458863.03644
ssa,2027,1497797477895.57,492510972.63810176,0.0,267892690010.89746,64946303460.77992,9014684865.75301,0.0,2842568138.7725816,1360351273.7894669,73960988326.53293,0.0,3924.81990741194,193931701684.36453,191089133545.59195
us,2028,19128179916993.266,170354467.2650064,2842353.5494088484,853669960468.8936,961883752311.2834,106720679922.27795,183098896182.13797,0.0,5039529971.131251,1054118186329.4429,14486245904.118597,63881.398876560765,-200448225860.54932,-31835575582.529945
oecd-ex-us,2028,23963952934022.105,388436174.8888486,3879883.9902781122,972079219308.6499,1220805432574.919,129696010210.92844,157274335728.18735,0.0,5186757369.394981,1337557599693.5378,12943843092.31001,43406.67576409311,-365478380384.88794,-221147887749.0106
china,2028,23072173553691.613,751843667.4032925,0.0,1062750433687.3771,1153864380959.431,125363566601.00847,0.0,9203895437.729616,9132008147.009506,1279227947560.4395,0.0,25680.32047045773,-216477513873.06238,-225681409310.792
india,2028,5967879263497.74,796680883.1263683,0.0,736039325164.5485,311518820132.54047,80451384714.4123,0.0,20009392934.23235,2948204099.0684867,391970204846.95276,0.0,9119.297570303788,344069120317.5957,324059727383.36334
latam,2028,5183976773960.389,312103868.30987054,0.0,396122100987.39435,263832671592.06808,38954441719.1478,0.0,7958408001.790846,1940153850.5225365,302787113311.2159,0.0,15852.009111984375,93334987676.17847,85376579674.38762
seasia,2028,5184832016298.172,349660894.81288093,0.0,434689598896.3165,258954562444.61023,37593627349.10424,0.0,1853834226.700116,2258322211.654422,296548189793.7145,0.0,14316.766516730313,138141409102.60205,136287574875.90193
russia,2028,5172726153890.024,144777111.9619711,594167.579708478,284680301350.7515,258720908976.83414,30222546221.044926,11908688589.725784,0.0,2224973453.567972,287968043051.08044,975412146.7986149,22301.31967664412,-3287741700.3289185,7645534742.598251
