region,year,gdppc,pop,gdp
china,1900,972.0,400000.0,388800000.0
china,1901,1079.0,2877.0,3104283.0
china,1902,1079.0,2949.0,3181971.0
china,1903,1278.0,2974.0,3800772.0
china,1904,1218.0,3023.0,3682014.0
china,1905,985.0,3101.0,3054485.0
china,1906,1038.0,3135.0,3254130.0
china,1907,1149.0,3164.0,3635436.0
china,1908,1186.0,3191.0,3784526.0
china,1909,1323.0,3227.0,4269321.0
china,1910,1345.0,3276.0,4406220.0
china,1911,907.7395958766331,431007.0,391242120.0
china,1912,1183.0,3411.0,4035213.0
china,1913,988.6828829196511,441039.0,436047710.0
china,1914,1240.0,3529.0,4375960.0
china,1915,1291.0,3545.0,4576595.0
china,1916,1392.0,3569.0,4968048.0
china,1917,1561.0,3616.0,5644576.0
china,1918,1492.0,3638.0,5427896.0
china,1919,1533.0,3681.0,5642973.0
china,1920,1513.0,3721.0,5629873.0
china,1921,1561.0,3786.0,5909946.0
china,1922,1728.0,3844.0,6642432.0
china,1923,1760.0,3904.0,6871040.0
china,1924,1889.0,3959.0,7478551.0
china,1925,1959.0,4048.0,7930032.0
china,1926,1954.0,4140.0,8089560.0
china,1927,1919.0,4232.0,8121208.0
china,1928,1934.0,4330.0,8374220.0
china,1929,1011.9153281405706,491710.0,497568886.0
china,1930,1021.3282255760663,493563.0,504089823.0
china,1931,1024.248875984268,497324.0,509383548.0
china,1932,1048.8495987930867,501113.0,525592169.0
china,1933,933.0997520458201,504932.0,471151924.0
china,1934,947.7203142788486,507702.0,481159499.0
china,1935,1018.7891084900024,510471.0,520062295.0
china,1936,1077.1883757812866,513256.0,552873397.0
china,1937,1046.3992311150382,516072.0,540017344.0
china,1938,1016.8241470220934,518888.0,527617848.0
china,1939,2200.0,5680.0,12496000.0
china,1940,1992.0,5837.0,11627304.0
china,1950,819.430027041424,556231.2201857077,455792563.7980587
china,1951,967.5743887637336,567294.3816679748,548899514.5914909
china,1952,1065.5303505239476,579076.0950414997,617023154.529608
china,1953,1175.6975282594306,591950.9998398954,695955327.3624636
china,1954,1071.93161441471,606287.2390865994,649898458.9931359
china,1955,1142.7691557098685,620102.399713653,708633895.7744347
china,1956,1213.1138081897511,633378.477805989,768360177.2366511
china,1957,1221.1350005469337,649760.9292454696,793445812.6895427
china,1958,1201.5691196143084,666062.8236290409,800320520.595767
china,1959,1148.9274466832796,679393.0041450085,780573269.5468074
