iso3,region
ABW,latam
AFG,india
AGO,ssa
AIA,latam
ALB,oecd-ex-us
AND,oecd-ex-us
ARE,mena
ARG,latam
ARM,russia
ASM,seasia
ATG,latam
AUS,oecd-ex-us
AUT,oecd-ex-us
AZE,russia
BDI,ssa
BEL,oecd-ex-us
BEN,ssa
BES,latam
BFA,ssa
BGD,india
BGR,oecd-ex-us
BHR,mena
BHS,latam
BIH,oecd-ex-us
BLM,latam
BLR,russia
BLZ,latam
BMU,oecd-ex-us
BOL,latam
BRA,latam
BRB,latam
BRN,seasia
BTN,india
BWA,ssa
CAF,ssa
CAN,oecd-ex-us
CHE,oecd-ex-us
CHL,latam
CHN,china
CIV,ssa
CMR,ssa
COD,ssa
COG,ssa
COK,seasia
COL,latam
COM,ssa
CPV,ssa
CRI,latam
CUB,latam
CUW,latam
CYM,latam
CYP,oecd-ex-us
CZE,oecd-ex-us
DEU,oecd-ex-us
DJI,ssa
DMA,latam
DNK,oecd-ex-us
DOM,latam
DZA,mena
ECU,latam
EGY,mena
ERI,ssa
ESH,mena
ESP,oecd-ex-us
EST,oecd-ex-us
ETH,ssa
FIN,oecd-ex-us
FJI,seasia
FLK,latam
FRA,oecd-ex-us
FRO,oecd-ex-us
FSM,seasia
GAB,ssa
GBR,oecd-ex-us
GEO,russia
GGY,oecd-ex-us
GHA,ssa
GIB,oecd-ex-us
GIN,ssa
GLP,latam
GMB,ssa
GNB,ssa
GNQ,ssa
GRC,oecd-ex-us
GRD,latam
GRL,oecd-ex-us
GTM,latam
GUF,latam
GUM,seasia
GUY,latam
HKG,china
HND,latam
HRV,oecd-ex-us
HTI,latam
HUN,oecd-ex-us
IDN,seasia
IMN,oecd-ex-us
IND,india
IRL,oecd-ex-us
IRN,mena
IRQ,mena
ISL,oecd-ex-us
ISR,oecd-ex-us
ITA,oecd-ex-us
JAM,latam
JEY,oecd-ex-us
JOR,mena
JPN,oecd-ex-us
KAZ,russia
KEN,ssa
KGZ,russia
KHM,seasia
KIR,seasia
KNA,latam
KOR,oecd-ex-us
KWT,mena
LAO,seasia
LBN,mena
LBR,ssa
LBY,mena
LCA,latam
LIE,oecd-ex-us
LKA,india
LSO,ssa
LTU,oecd-ex-us
LUX,oecd-ex-us
LVA,oecd-ex-us
MAC,china
MAF,latam
MAR,mena
MCO,oecd-ex-us
MDA,russia
MDG,ssa
MDV,india
MEX,latam
MHL,seasia
MKD,oecd-ex-us
MLI,ssa
MLT,oecd-ex-us
MMR,seasia
MNE,oecd-ex-us
MNG,seasia
MNP,seasia
MOZ,ssa
MRT,ssa
MSR,latam
MTQ,latam
MUS,ssa
MWI,ssa
MYS,seasia
MYT,ssa
NAM,ssa
NCL,seasia
NER,ssa
NGA,ssa
NIC,latam
NIU,seasia
NLD,oecd-ex-us
NOR,oecd-ex-us
NPL,india
NRU,seasia
NZL,oecd-ex-us
OMN,mena
PAK,india
PAN,latam
PER,latam
PHL,seasia
PLW,seasia
PNG,seasia
POL,oecd-ex-us
PRI,latam
PRK,seasia
PRT,oecd-ex-us
PRY,latam
PSE,mena
PYF,seasia
QAT,mena
REU,ssa
ROU,oecd-ex-us
RUS,russia
RWA,ssa
SAU,mena
SDN,ssa
SEN,ssa
SGP,seasia
SHN,ssa
SLB,seasia
SLE,ssa
SLV,latam
SMR,oecd-ex-us
SOM,ssa
SPM,oecd-ex-us
SRB,oecd-ex-us
SSD,ssa
STP,ssa
SUR,latam
SVK,oecd-ex-us
SVN,oecd-ex-us
SWE,oecd-ex-us
SWZ,ssa
SXM,latam
SYC,ssa
SYR,mena
TCA,latam
TCD,ssa
TGO,ssa
THA,seasia
TJK,russia
TKL,seasia
TKM,russia
TLS,seasia
TON,seasia
TTO,latam
TUN,mena
TUR,mena
TUV,seasia
TWN,china
TZA,ssa
UGA,ssa
UKR,russia
URY,latam
USA,us
UZB,russia
VAT,oecd-ex-us
VCT,latam
VEN,latam
VGB,latam
VIR,latam
VNM,seasia
VUT,seasia
WLF,seasia
WSM,seasia
XKX,oecd-ex-us
YEM,mena
ZAF,ssa
ZMB,ssa
ZWE,ssa
