region,year,life_expectancy,net_migration_thousands
china,1950,44.0569,4.099
china,1951,44.7877,7.839
china,1952,45.5769,17.884
china,1953,46.151,23.108
china,1954,47.0027,31.761
china,1955,47.4872,48.359
china,1956,48.061,71.923
china,1957,48.6383,89.799
china,1958,49.0938,91.222
china,1959,40.6241,82.127
china,1960,34.0478,55.958
china,1961,40.6739,-206.14
china,1962,51.259,-274.612
china,1963,51.964,-256.463
china,1964,52.6245,19.59
china,1965,53.3118,65.473
china,1966,53.9708,-2.926
china,1967,54.7055,-14.681
china,1968,55.4595,234.627
china,1969,56.2598,211.053
china,1970,57.1054,142.202
china,1971,58.0015,-58.744
china,1972,58.8365,-128.733
china,1973,59.7389,-212.934
china,1974,60.4768,-128.318
china,1975,61.1837,-114.897
china,1976,61.4572,2.851
china,1977,62.6669,56.573
china,1978,63.3071,58.461
china,1979,63.8988,52.645
china,1980,64.433,18.615
china,1981,64.959,-16.623
china,1982,65.4286,-27.949
china,1983,65.8984,-27.668
china,1984,66.3209,-33.701
china,1985,66.7046,-39.499
china,1986,67.054,-95.611
china,1987,67.4271,-204.69
china,1988,67.7584,-327.793
china,1989,68.0788,-377.145
china,1990,68.3026,-93.889
china,1991,68.7534,-488.289
china,1992,69.1942,-61.515
china,1993,69.6249,-310.117
china,1994,69.9651,-667.456
china,1995,70.4819,-311.259
china,1996,70.9382,-200.054
china,1997,71.3428,-219.796
china,1998,71.7135,27.356
china,1999,72.0606,-21.552
china,2000,72.4005,-44.835
china,2001,72.7862,-138.008
china,2002,73.1443,-727.829
china,2003,73.4905,-597.914
china,2004,73.8287,-749.009
china,2005,74.1785,-80.488
china,2006,74.5034,-701.367
china,2007,74.884,-976.623
china,2008,74.9331,-701.267
china,2009,75.4144,-106.845
china,2010,75.764,-147.789
china,2011,75.9791,-366.883
china,2012,76.2893,9.269
china,2013,76.5443,-151.47
china,2014,76.7997,-330.69
china,2015,77.063,-618.18
china,2016,77.2944,-107.741
china,2017,77.3226,-60.633
china,2018,77.7935,-180.937
china,2019,78.023,-637.187
china,2020,78.1067,-105.759
china,2021,78.1983,-520.347
china,2022,78.2626,-313.455
china,2023,78.0359,-595.121
china,2024,78.1024,-362.476
china,2025,78.4536,-271.538
china,2026,79.0932,-258.898
china,2027,79.3011,-217.119
china,2028,79.4967,-262.481
china,2029,79.6909,-222.836
china,2030,79.8872,-209.222
china,2031,80.0828,-234.499
china,2032,80.2762,-227.37
china,2033,80.4672,-228.608
china,2034,80.6661,-203.906
china,2035,80.8554,-230.844
china,2036,81.0448,-219.259
china,2037,81.2297,-198.8
china,2038,81.417,-192.572
china,2039,81.5928,-181.57
china,2040,81.7683,-202.896
china,2041,81.9424,-213.198
china,2042,82.1191,-213.307
china,2043,82.2902,-171.851
china,2044,82.4588,-146.695
china,2045,82.6245,-185.663
china,2046,82.7923,-212.598
china,2047,82.9599,-203.167
china,2048,83.1204,-181.597
china,2049,83.2786,-204.443
china,2050,83.4337,-165.813
china,2051,83.5838,-189.636
china,2052,83.7323,-208.127
china,2053,83.8822,-170.776
china,2054,84.0333,-155.886
china,2055,84.1824,-167.562
china,2056,84.3422,-174.683
china,2057,84.4932,-149.898
china,2058,84.641,-168.79
china,2059,84.7824,-161.221
china,2060,84.9282,-165.579
china,2061,85.0775,-147.466
china,2062,85.2239,-141.322
china,2063,85.3644,-126.672
china,2064,85.4919,-158.796
china,2065,85.6251,-126.184
china,2066,85.763,-135.872
china,2067,85.8944,-151.69
china,2068,86.0275,-126.947
china,2069,86.1603,-124.762
china,2070,86.2941,-114.352
china,2071,86.4225,-115.008
china,2072,86.5511,-135.216
china,2073,86.6697,-134.134
china,2074,86.7978,-112.159
china,2075,86.9258,-123.363
china,2076,87.0436,-106.176
china,2077,87.1655,-107.45
china,2078,87.2833,-92.423
china,2079,87.3983,-108.262
china,2080,87.5125,-108.679
china,2081,87.6296,-97.36
china,2082,87.7533,-74.098
china,2083,87.8659,-79.161
china,2084,87.9835,-114.377
china,2085,88.106,-100.577
china,2086,88.2334,-86.524
china,2087,88.3505,-97.006
china,2088,88.4657,-96.57
china,2089,88.5753,-96.691
china,2090,88.6879,-84.597
china,2091,88.8072,-83.891
china,2092,88.9219,-84.047
china,2093,89.0367,-89.252
china,2094,89.1531,-91.634
china,2095,89.263,-80.558
china,2096,89.3811,-94.266
china,2097,89.4904,-94.251
china,2098,89.5999,-80.627
china,2099,89.713,-82.609
china,2100,89.8279,-75.589
india,1950,40.1897,14.426
