region,year,young,working,entrants
us,2025,81600000.0,197200000.0,4080000.0
oecd-ex-us,2025,144000000.0,464000000.0,7200000.0
china,2025,239700000.0,930600000.0,11985000.0
india,2025,630400000.0,1162300000.0,31520000.0
latam,2025,180900000.0,422100000.0,9045000.0
seasia,2025,196000000.0,441000000.0,9800000.0
russia,2025,63800000.0,179800000.0,3190000.0
mena,2025,198000000.0,354000000.0,9900000.0
ssa,2025,648600000.0,662400000.0,32430000.0
us,2026,81432559.3,197577164.6,4080000.0
oecd-ex-us,2026,145198836.2,462914668.4,7200000.0
china,2026,237719411.2,918887600.0,11985000.0
india,2026,627619869.9,1162928211.1,31520000.0
latam,2026,180422016.8,419426700.0,9045000.0
seasia,2026,196716874.1,438557000.0,9800000.0
russia,2026,63810871.8,178223044.4,3190000.0
mena,2026,198836166.5,355612167.0,9900000.0
ssa,2026,654678648.3,677018800.0,32430000.0
us,2027,81275873.2,197947721.4,4071628.0
oecd-ex-us,2027,146321139.0,461940573.0,7259941.8
china,2027,235619279.6,907372160.5,11885970.6
india,2027,624684033.1,1163391798.5,31380993.5
latam,2027,179876990.4,416792262.3,9021100.8
seasia,2027,197261983.8,436204381.3,9835843.7
russia,2027,63783775.0,176686618.1,3190543.6
mena,2027,199574505.8,357235491.4,9941808.3
ssa,2027,660716969.7,691548334.6,32733932.4
us,2028,81129268.8,198311732.3,4063793.7
oecd-ex-us,2028,147371883.7,461069496.3,7316057.0
china,2028,233414146.7,896042828.2,11780964.0
india,2028,621604590.4,1163688039.7,31234201.7
latam,2028,179269893.7,414192933.1,8993849.5
seasia,2028,197647640.0,433932012.2,9863099.2
russia,2028,63721497.5,175187870.2,3189188.8
mena,2028,200220926.6,358864252.1,9978725.3
ssa,2028,666705189.2,705989227.6,33035848.5
us,2029,80992110.3,198669258.2,4056463.4
oecd-ex-us,2029,148355708.7,460293774.7,7368594.2
china,2029,231117328.1,884889744.3,11670707.3
india,2029,618392926.3,1163814831.7,31080229.5
latam,2029,178605375.5,411625269.0,8963494.7
seasia,2029,197885312.4,431730585.6,9882382.0
russia,2029,63626640.8,173724156.1,3186074.9
mena,2029,200780945.0,360493192.4,10011046.3
ssa,2029,672634356.6,720341587.7,33335259.5
us,2030,80863797.5,199020359.0,4049605.5
oecd-ex-us,2030,149276937.6,459606259.7,7417785.4
china,2030,228741008.8,873903958.6,11555866.4
india,2030,615059752.0,1163770643.4,30919646.3
latam,2030,177887781.8,409086114.4,8930268.8
seasia,2030,197985690.6,429591559.3,9894265.6
russia,2030,63501632.8,172293023.1,3181332.0
mena,2030,201259714.9,362117486.8,10039047.3
ssa,2030,678496287.1,734605063.4,33631717.8
us,2031,80743763.4,199365092.9,4043189.9
oecd-ex-us,2031,150139601.3,459000282.3,7463846.9
china,2031,226296330.5,863077350.1,11437050.4
india,2031,611615145.1,1163554470.8,30752987.6
latam,2031,177121176.3,406572581.7,8894389.1
seasia,2031,197958738.8,427507101.2,9899284.5
russia,2031,63348739.5,170892197.5,3175081.6
mena,2031,201662055.1,363732711.4,10062985.7
ssa,2031,684283506.9,748778894.0,33924814.4
us,2032,80631472.5,199703516.3,4037188.2
oecd-ex-us,2032,150947456.9,458469619.8,7506980.1
china,2032,223793473.0,852402554.5,11314816.5
india,2032,608068587.2,1163165795.8,30580757.3
latam,2032,176309358.4,404082031.6,8856058.8
seasia,2032,197813747.6,425470037.7,9897936.9
russia,2032,63170075.7,169519572.1,3167437.0
mena,2032,201992474.5,365334815.8,10083102.8
ssa,2032,689989202.9,762861956.1,34214175.3
us,2033,80526419.0,200035683.5,4031573.6
oecd-ex-us,2033,151704007.0,458008465.5,7547372.8
china,2033,221241729.1,841872897.2,11189673.7
india,2033,604428998.2,1162604546.9,30403429.4
latam,2033,175455881.3,401612055.7,8815467.9
seasia,2033,197559381.1,423473806.3,9890687.4
russia,2033,62967615.2,168173195.1,3158503.8
mena,2033,202255195.8,366920097.1,10099623.7
ssa,2033,695607176.7,776852806.2,34499460.1
us,2034,80428124.9,200361646.4,4026320.9
oecd-ex-us,2034,152412516.3,457611399.5,7585200.3
china,2034,218649573.3,831482332.1,11062086.5
india,2034,600704769.3,1161871062.8,30221449.9
latam,2034,174564067.8,399160460.1,8772794.1
seasia,2034,197203720.9,421512411.3,9877969.1
russia,2034,62743200.0,166851258.9,3148380.8
mena,2034,202454175.9,368485175.4,10112759.8
ssa,2034,701131802.3,790749720.9,34780358.8
us,2035,80336138.8,200681454.4,4021406.2
oecd-ex-us,2035,153076028.0,457273362.8,7620625.8
china,2035,216024726.7,821225384.8,10932478.7
india,2035,596903792.9,1160966057.9,30035238.5
latam,2035,173637025.7,396725249.5,8728203.4
seasia,2035,196754306.9,419580382.3,9860186.0
russia,2035,62498549.7,165552090.5,3137160.0
mena,2035,202593125.7,370026972.2,10122708.8
ssa,2035,706557987.3,804550732.7,35056590.1
us,2036,80250034.2,200995154.5,4016806.9
oecd-ex-us,2036,153697378.7,456989632.4,7653801.4
china,2036,213374215.4,811097101.0,10801236.3
india,2036,593033491.5,1159890590.6,29845189.6
latam,2036,172677661.6,394304612.7,8681851.3
seasia,2036,196218175.0,417672736.3,9837715.3
russia,2036,62235268.8,164274142.1,3124927.5
mena,2036,202675528.0,371542688.8,10129656.3
ssa,2036,711881136.6,818253663.4,35327899.4
us,2037,80169408.0,201302790.9,4012501.7
oecd-ex-us,2037,154279212.3,456755798.2,7684868.9
china,2037,210704425.5,801092998.9,10668710.8
india,2037,589100844.0,1158646033.1,29651674.6
latam,2037,171688694.3,391896910.0,8633883.1
seasia,2037,195601891.7,415784942.1,9810908.8
russia,2037,61954855.3,163015982.4,3111763.4
mena,2037,202704653.6,373029787.3,10133776.4
ssa,2037,717097119.3,831856155.4,35594056.8
us,2038,80093879.5,201604405.2,4008470.4
oecd-ex-us,2038,154823993.0,456567742.0,7713960.6
china,2038,208021153.9,791209025.3,10535221.3
india,2038,585112410.9,1157234043.4,29455042.2
latam,2038,170672666.7,389500659.6,8584434.7
seasia,2038,194911586.3,413912887.1,9780094.6
russia,2038,61658707.0,161776288.6,3097742.8
mena,2038,202683576.6,374485972.5,10135232.7
ssa,2038,722202238.0,845355699.0,35854856.0
us,2039,80023088.7,201900036.3,4004694.0
oecd-ex-us,2039,155334017.6,456421617.6,7741199.7
china,2039,205329654.5,781441515.5,10401057.7
india,2039,581074357.6,1155656538.9,29255620.5
latam,2039,169631957.9,387114526.9,8533633.3
seasia,2039,194152981.6,412052846.2,9745579.3
russia,2039,61348128.5,160553838.8,3082935.3
mena,2039,202615188.0,375909175.2,10134178.8
ssa,2039,727193200.3,858749659.5,36110111.9
us,2040,79956695.5,202189720.4,4001154.4
oecd-ex-us,2040,155811426.5,456313832.2,7766700.9
china,2040,202634682.0,771787157.1,10266482.7
india,2040,576992476.6,1153915672.1,29053717.9
latam,2040,168568793.0,384737312.7,8481597.9
seasia,2040,193331420.9,410201453.8,9707649.1
russia,2040,61024337.5,159347504.8,3067406.4
mena,2040,202502208.3,377297536.5,10130759.4
ssa,2040,732067092.5,872035300.1,36359660.0
us,2041,79894378.4,202473491.4,3997834.8
oecd-ex-us,2041,156258214.6,456241029.3,7790571.3
china,2041,199940531.7,762242955.7,10131734.1
india,2041,572872208.2,1152013807.1,28849623.8
latam,2041,167485253.6,382367943.9,8428439.6
seasia,2041,192451893.9,408355676.8,9666571.0
russia,2041,60688470.3,158156246.0,3051216.9
mena,2041,202347199.8,378649393.3,10125110.4
ssa,2041,736821354.8,885209804.3,36603354.6
us,2042,79835833.5,202751380.3,3994718.9
oecd-ex-us,2042,156676240.9,456200072.8,7812910.7
china,2042,197251076.2,752806204.4,9997026.6
india,2042,568718659.8,1149953498.7,28643610.4
latam,2042,166383287.0,380005463.6,8374262.7
seasia,2042,191519061.2,406512789.6,9622594.7
russia,2042,60341587.3,156979102.8,3034423.5
mena,2042,202152576.4,379963265.0,10117360.0
ssa,2042,741453758.9,898270296.1,36841067.7
us,2043,79780773.5,203023415.8,3991791.7
oecd-ex-us,2043,157067237.9,456188032.4,7833812.0
china,2043,194569800.0,743474455.6,9862553.8
india,2043,564536624.5,1147737471.6,28435933.0
latam,2043,165264714.7,377649022.3,8319164.4
seasia,2043,190537275.8,404670351.5,9575953.1
russia,2043,59984677.9,155815190.9,3017079.4
mena,2043,201920614.5,381237840.3,10107628.8
ssa,2043,745962386.5,911213858.0,37072687.9
us,2044,79728926.7,203289624.1,3989038.7
oecd-ex-us,2044,157432819.9,456202169.2,7853361.9
china,2044,191899830.5,734245495.1,9728490.0
india,2044,560330598.2,1145368602.4,28226831.2
latam,2044,164131240.5,375297869.6,8263235.7
seasia,2044,189510603.9,402826185.0,9526863.8
russia,2044,59618665.4,154663696.5,2999233.9
mena,2044,201653461.3,382471966.0,10096030.7
ssa,2044,750345609.3,924037548.1,37298119.3
us,2045,79680036.3,203550029.2,3986446.3
oecd-ex-us,2045,157774491.0,456239923.4,7871641.0
china,2045,189243967.9,725117318.7,9594991.5
india,2045,556104796.2,1142849901.4,28016529.9
latam,2045,162984458.2,372951347.2,8206562.0
seasia,2045,188442844.5,400978355.7,9475530.2
russia,2045,59244411.3,153523870.6,2980933.3
mena,2045,201353143.8,383664636.0,10082673.1
ssa,2045,754602071.2,936738415.5,37517280.5
us,2046,79633859.5,203804653.0,3984001.8
oecd-ex-us,2046,158093653.0,456298902.0,7888724.6
china,2046,186604711.6,716088110.2,9462198.4
india,2046,551863168.0,1140184496.4,27805239.8
latam,2046,161825858.5,370608880.8,8149222.9
seasia,2046,187337546.6,399125153.9,9422142.2
russia,2046,58862719.1,152395025.1,2962220.6
mena,2046,201021576.3,384814980.6,10067657.2
ssa,2046,758730670.1,949313514.4,37730103.6
us,2047,79590166.6,204053515.0,3981693.0
oecd-ex-us,2047,158391611.5,456376867.8,7904682.6
china,2047,183984285.4,707156222.4,9330235.6
india,2047,547609412.6,1137375617.9,27593158.4
latam,2047,160656835.4,368269974.2,8091292.9
seasia,2047,186198026.0,397265077.3,9366877.3
russia,2047,58474338.4,151276527.7,2943136.0
mena,2047,200660567.9,385922257.3,10051078.8
ssa,2047,762730542.5,961759916.7,37936533.5
us,2048,79548740.3,204296632.9,3979508.3
oecd-ex-us,2048,158669583.3,456471729.2,7919580.6
china,2048,181384660.3,698320158.7,9199214.3
india,2048,543346991.6,1134426584.1,27380470.6
latam,2048,159478692.9,365934202.8,8032841.8
seasia,2048,185027380.9,395396814.9,9309901.3
russia,2048,58079968.5,150167798.6,2923716.9
mena,2048,200271828.5,386985841.9,10033028.4
ssa,2048,766601047.7,974074723.9,38136527.1
us,2049,79509375.2,204534022.6,3977437.0
oecd-ex-us,2049,158928701.7,456581530.1,7933479.2
china,2049,178807575.9,689578557.2,9069233.0
india,2049,539079142.5,1131340788.4,27167349.6
latam,2049,158292650.2,363601208.0,7973934.6
seasia,2049,183828505.7,393519231.8,9251369.0
russia,2049,57680261.3,149068306.3,2903998.4
