region,year,population
us,2025,346400000.0
oecd-ex-us,2025,805800000.0
china,2025,1444000000.0
india,2025,1986900000.0
latam,2025,666000000.0
seasia,2025,742400000.0
russia,2025,295000000.0
mena,2025,601600000.0
ssa,2025,1321600000.0
us,2026,348015047.1
oecd-ex-us,2026,805976522.8
china,2026,1441119369.1
india,2026,2004448502.9
latam,2026,669416343.5
seasia,2026,746520976.0
russia,2026,295600490.8
mena,2026,608635991.5
ssa,2026,1347656568.2
us,2027,349424080.4
oecd-ex-us,2027,805721401.7
china,2027,1437588793.8
india,2027,2021115878.3
latam,2027,672389116.2
seasia,2027,750206931.6
russia,2027,296049214.6
mena,2027,615383234.7
ssa,2027,1374032638.6
us,2028,350648582.0
oecd-ex-us,2028,805066231.7
china,2028,1433423908.4
india,2028,2036965040.7
latam,2028,674959074.9
seasia,2028,753485010.3
russia,2028,296361154.4
mena,2028,621855286.3
ssa,2028,1400657902.5
us,2029,351707127.7
oecd-ex-us,2029,804042179.2
china,2029,1428642699.0
india,2029,2052017065.3
latam,2029,677161731.8
seasia,2029,756385160.7
russia,2029,296554023.0
mena,2029,628064390.2
ssa,2029,1427498925.1
us,2030,352615616.7
oecd-ex-us,2030,802678820.4
china,2030,1423263032.5
india,2030,2066289730.6
latam,2030,679027654.2
seasia,2030,758932600.7
russia,2030,296642408.2
mena,2030,634021234.6
ssa,2030,1454517447.4
us,2031,353387656.3
oecd-ex-us,2031,801003508.6
china,2031,1417301535.5
india,2031,2079797525.5
latam,2031,680582899.0
seasia,2031,761148253.9
russia,2031,296637928.1
mena,2031,639734856.8
ssa,2031,1481672212.4
us,2032,354034969.5
oecd-ex-us,2032,799041136.6
china,2032,1410773363.6
india,2032,2092552209.3
latam,2032,681849513.4
seasia,2032,763049434.9
russia,2032,296549510.2
mena,2032,645212675.4
ssa,2032,1508919939.9
us,2033,354567762.5
oecd-ex-us,2033,796814146.7
china,2033,1403692462.2
india,2033,2104563499.8
latam,2033,682846048.3
seasia,2033,764650559.3
russia,2033,296383993.1
mena,2033,650460604.4
ssa,2033,1536215854.4
us,2034,354995028.8
oecd-ex-us,2034,794342674.0
china,2034,1396072021.5
india,2034,2115839678.6
latam,2034,683588049.4
seasia,2034,765963771.4
russia,2034,296146789.9
mena,2034,655483210.0
ssa,2034,1563514105.6
us,2035,355324789.3
oecd-ex-us,2035,791644749.2
china,2035,1387924940.0
india,2035,2126388046.1
latam,2035,684088509.9
seasia,2035,766999456.4
russia,2035,295842428.7
mena,2035,660283884.6
ssa,2035,1590768219.3
us,2036,355564275.9
oecd-ex-us,2036,788736521.2
china,2036,1379264209.2
india,2036,2136215229.9
latam,2036,684358275.8
seasia,2036,767766643.1
russia,2036,295474913.1
mena,2036,664865023.0
ssa,2036,1617931598.5
us,2037,355720069.6
oecd-ex-us,2037,785632476.1
china,2037,1370103192.9
india,2037,2145327381.2
latam,2037,684406404.2
seasia,2037,768273312.8
russia,2037,295047921.2
mena,2037,669228192.4
ssa,2037,1644958154.9
us,2038,355798202.6
oecd-ex-us,2038,782345646.4
china,2038,1360455812.2
india,2038,2153730298.1
latam,2038,684240476.7
seasia,2038,768526636.2
russia,2038,294564889.2
mena,2038,673374293.2
ssa,2038,1671802743.4
us,2039,355804233.8
oecd-ex-us,2039,778887804.6
china,2039,1350336658.6
india,2039,2161429508.1
latam,2039,683866871.2
seasia,2039,768533154.0
russia,2039,294029024.6
mena,2039,677303708.3
ssa,2039,1698421290.1
us,2040,355743304.0
oecd-ex-us,2040,775269642.5
china,2040,1339761059.7
india,2040,2168430332.3
latam,2040,683290996.8
seasia,2040,768298917.5
russia,2040,293443286.3
mena,2040,681016441.4
ssa,2040,1724771730.8
us,2041,355620175.1
oecd-ex-us,2041,771500934.4
china,2041,1328745114.3
india,2041,2174737944.9
latam,2041,682517495.2
seasia,2041,767829597.8
russia,2041,292810356.0
mena,2041,684512241.6
ssa,2041,1750814145.1
us,2042,355439259.5
oecd-ex-us,2042,767590685.6
china,2042,1317305706.2
india,2042,2180357435.7
latam,2042,681550413.5
seasia,2042,767130574.0
russia,2042,292132614.5
mena,2042,687790716.5
ssa,2042,1776511006.8
us,2043,355204640.4
oecd-ex-us,2043,763547264.3
china,2043,1305460502.4
india,2043,2185293876.7
latam,2043,680393351.0
seasia,2043,766207004.0
russia,2043,291412131.9
mena,2043,690851431.9
ssa,2043,1801827356.0
us,2044,354920087.3
oecd-ex-us,2044,759378517.8
china,2044,1293227933.7
india,2044,2189552392.3
latam,2044,679049583.7
seasia,2044,765063883.2
russia,2044,290650671.1
mena,2044,693693999.3
ssa,2044,1826730892.7
us,2045,354589068.0
oecd-ex-us,2045,755091873.0
china,2045,1280627157.3
india,2045,2193138231.3
latam,2045,677522168.6
seasia,2045,763706093.3
russia,2045,289849706.3
mena,2045,696318150.2
ssa,2045,1851192004.3
us,2046,354214758.1
oecd-ex-us,2046,750694419.8
china,2046,1267677999.0
india,2046,2196056837.3
latam,2046,675814031.4
seasia,2046,762138443.1
russia,2046,289010452.6
mena,2046,698723799.0
ssa,2046,1875183734.1
us,2047,353800050.7
oecd-ex-us,2047,746192979.6
china,2047,1254400874.9
india,2047,2198313915.9
latam,2047,673928037.9
seasia,2047,760365702.3
russia,2047,288133903.3
mena,2047,700911094.5
ssa,2047,1898681701.9
us,2048,353347565.4
oecd-ex-us,2048,741594158.2
china,2048,1240816692.8
india,2048,2199915495.6
latam,2048,671867052.8
seasia,2048,758392629.3
russia,2048,287220872.5
mena,2048,702880460.1
ssa,2048,1921663988.6
us,2049,352859658.2
oecd-ex-us,2049,736904385.7
china,2049,1226946737.2
india,2049,2200867981.8
latam,2049,669633986.2
seasia,2049,756223994.2
russia,2049,286272040.0
mena,2049,704632624.8
ssa,2049,1944110993.1
us,2050,352338433.5
oecd-ex-us,2050,732129943.0
china,2050,1212812540.7
india,2050,2201178201.7
latam,2050,667231830.2
seasia,2050,753864596.0
russia,2050,285287995.1
mena,2050,706168643.9
ssa,2050,1966005272.0
us,2051,351785755.7
oecd-ex-us,2051,727276978.6
china,2051,1198435747.7
india,2051,2200853440.9
latam,2051,664663685.9
seasia,2051,751319275.2
russia,2051,284269277.9
mena,2051,707489912.5
ssa,2051,1987331369.6
us,2052,351203264.1
oecd-ex-us,2052,722351514.8
china,2052,1183837974.4
india,2052,2199901470.4
latam,2052,661932782.8
seasia,2052,748592922.7
russia,2052,283216416.5
mena,2052,708598170.6
ssa,2052,2008075646.6
us,2053,350592387.0
oecd-ex-us,2053,717359447.7
china,2053,1169040671.4
india,2053,2198330565.0
latam,2053,659042491.6
seasia,2053,745690484.5
russia,2053,282129958.7
mena,2053,709495502.2
ssa,2053,2028226110.9
us,2054,349954358.6
oecd-ex-us,2054,712306540.7
china,2054,1154064992.3
india,2054,2196149513.4
latam,2054,655996330.3
seasia,2054,742616962.1
russia,2054,281010498.3
mena,2054,710184327.4
ssa,2054,2047772257.9
us,2055,349290235.3
oecd-ex-us,2055,707198413.8
china,2055,1138931673.2
india,2055,2193367620.6
latam,2055,652797966.3
seasia,2055,739377410.7
russia,2055,279858694.0
mena,2055,710667390.1
ssa,2055,2066704921.5
us,2056,348600913.1
oecd-ex-us,2056,702040530.4
china,2056,1123660924.6
india,2056,2189994703.4
latam,2056,649451213.3
seasia,2056,735976934.7
russia,2056,278675283.5
mena,2056,710947741.3
ssa,2056,2085016140.4
us,2057,347887144.9
oecd-ex-us,2057,696838182.5
china,2057,1108272338.6
india,2057,2186041080.5
latam,2057,645960026.2
seasia,2057,732420679.9
russia,2057,277461090.9
mena,2057,711028718.1
ssa,2057,2102699038.3
us,2058,347149557.8
oecd-ex-us,2058,691596475.0
china,2058,1092784812.6
india,2058,2181517556.9
latam,2058,642328491.7
seasia,2058,728713825.4
russia,2058,276217029.0
mena,2058,710913920.0
ssa,2058,2119747721.9
us,2059,346388669.8
oecd-ex-us,2059,686320311.8
china,2059,1077216488.4
india,2059,2176435404.5
latam,2059,638560817.8
seasia,2059,724861573.2
russia,2059,274944096.8
mena,2059,710607183.1
ssa,2059,2136157194.2
us,2060,345604906.0
oecd-ex-us,2060,681014381.7
china,2060,1061584707.7
india,2060,2170806339.5
latam,2060,634661321.7
seasia,2060,720869137.6
russia,2060,273643373.2
mena,2060,710112552.6
ssa,2060,2151923282.9
us,2061,344798614.0
oecd-ex-us,2061,675683147.2
china,2061,1045905982.2
india,2061,2164642497.4
latam,2061,630634416.8
seasia,2061,716741734.1
russia,2061,272316007.0
mena,2061,709434253.6
ssa,2061,2167042584.7
us,2062,343970078.2
oecd-ex-us,2062,670330835.2
china,2062,1030195977.1
