region,year,agegrp,pop_thousands,series
china,1950,0-4,79593.556,estimate
china,1950,10-14,55402.537,estimate
china,1950,100+,0.538,estimate
china,1950,15-19,53169.237,estimate
china,1950,20-24,46829.408,estimate
china,1950,25-29,42203.477,estimate
china,1950,30-34,37584.396,estimate
china,1950,35-39,34578.967,estimate
china,1950,40-44,31355.923,estimate
china,1950,45-49,28125.511,estimate
china,1950,5-9,58132.75,estimate
china,1950,50-54,22824.433,estimate
china,1950,55-59,20003.931,estimate
china,1950,60-64,16359.11,estimate
china,1950,65-69,12281.688,estimate
china,1950,70-74,7406.826,estimate
china,1950,75-79,4618.949,estimate
china,1950,80-84,2313.258,estimate
china,1950,85-89,844.147,estimate
china,1950,90-94,171.594,estimate
china,1950,95-99,15.648,estimate
china,1951,0-4,84927.93,estimate
china,1951,10-14,55295.471,estimate
china,1951,100+,0.617,estimate
china,1951,15-19,54072.147,estimate
china,1951,20-24,47690.512,estimate
china,1951,25-29,42723.907,estimate
china,1951,30-34,37988.37,estimate
china,1951,35-39,35179.225,estimate
china,1951,40-44,31349.558,estimate
china,1951,45-49,28557.831,estimate
china,1951,5-9,59323.595,estimate
china,1951,50-54,23071.209,estimate
china,1951,55-59,20193.499,estimate
china,1951,60-64,16200.834,estimate
china,1951,65-69,12122.578,estimate
china,1951,70-74,7510.66,estimate
china,1951,75-79,4487.464,estimate
china,1951,80-84,2197.43,estimate
china,1951,85-89,807.487,estimate
china,1951,90-94,173.66,estimate
china,1951,95-99,16.654,estimate
china,1952,0-4,90874.611,estimate
china,1952,10-14,55264.166,estimate
china,1952,100+,0.68,estimate
china,1952,15-19,54788.948,estimate
china,1952,20-24,48621.038,estimate
china,1952,25-29,43298.12,estimate
china,1952,30-34,38407.815,estimate
china,1952,35-39,35763.841,estimate
china,1952,40-44,31430.967,estimate
china,1952,45-49,28770.636,estimate
china,1952,5-9,61411.316,estimate
china,1952,50-54,23533.06,estimate
china,1952,55-59,20238.538,estimate
china,1952,60-64,16137.059,estimate
china,1952,65-69,12009.695,estimate
china,1952,70-74,7693.021,estimate
china,1952,75-79,4329.34,estimate
china,1952,80-84,2113.241,estimate
china,1952,85-89,769.779,estimate
china,1952,90-94,172.428,estimate
china,1952,95-99,17.326,estimate
china,1953,0-4,96785.016,estimate
china,1953,10-14,55192.686,estimate
china,1953,100+,0.732,estimate
china,1953,15-19,54902.615,estimate
china,1953,20-24,49673.688,estimate
china,1953,25-29,44164.331,estimate
china,1953,30-34,39026.954,estimate
china,1953,35-39,35985.299,estimate
china,1953,40-44,31786.111,estimate
china,1953,45-49,28878.343,estimate
china,1953,5-9,64543.683,estimate
china,1953,50-54,24155.541,estimate
china,1953,55-59,20155.736,estimate
china,1953,60-64,16192.722,estimate
china,1953,65-69,11989.192,estimate
china,1953,70-74,7892.006,estimate
china,1953,75-79,4167.827,estimate
