region,year,population_historical
china,1900,399113832
china,1901,401163909
china,1902,403325411
china,1903,405534380
china,1904,407754884
china,1905,409987931
china,1906,412234976
china,1907,414496868
china,1908,416773596
china,1909,419517059
china,1910,422808384
china,1911,426402853
china,1912,430599443
china,1913,435291444
china,1914,440023699
china,1915,444793006
china,1916,449607392
china,1917,454475200
china,1918,459498391
china,1919,463883385
china,1920,467693608
china,1921,470684091
china,1922,473098260
china,1923,474852264
china,1924,476621774
china,1925,478391730
china,1926,480171332
china,1927,482117765
china,1928,483773656
china,1929,485838139
china,1930,488146934
china,1931,490712161
china,1932,493517322
china,1933,496569414
china,1934,499626129
china,1935,502700411
china,1936,505888408
china,1937,509329734
china,1938,512537205
china,1939,515785389
china,1940,519252214
china,1941,521832151
china,1942,524718900
china,1943,527545148
china,1944,530333154
china,1945,533085586
china,1946,535857036
china,1947,538775526
china,1948,541918651
china,1949,546936352
china,1950,553815906
india,1900,340047558
india,1901,341497137
india,1902,343209020
india,1903,345185094
india,1904,347173384
india,1905,349173975
india,1906,351186958
india,1907,353212426
india,1908,355250469
india,1909,357082952
india,1910,358714165
india,1911,360148835
india,1912,361392157
india,1913,362449830
india,1914,363546274
india,1915,364684149
india,1916,365866325
india,1917,367095875
india,1918,368567928
india,1919,370340738
india,1920,372417612
india,1921,374800915
india,1922,377492057
india,1923,380491429
india,1924,383554941
india,1925,386681582
india,1926,389870425
india,1927,393120615
india,1928,396431377
india,1929,400253932
india,1930,404593262
india,1931,409454759
india,1932,414844227
india,1933,420767870
india,1934,426780347
india,1935,432883016
india,1936,439077261
india,1937,445364482
india,1938,451746107
india,1939,456598991
india,1940,459914817
india,1941,461685134
india,1942,461901355
india,1943,460554756
india,1944,459261088
india,1945,458021156
india,1946,456835807
india,1947,455705936
india,1948,454632475
india,1949,455563250
india,1950,447563224
latam,1900,65261888
latam,1901,64976647
latam,1902,66122644
latam,1903,67298050
latam,1904,68499078
latam,1905,69726388
latam,1906,70980637
latam,1907,72262515
latam,1908,73572737
latam,1909,74868955
latam,1910,77817214
latam,1911,77429347
latam,1912,78670431
latam,1913,79907350
latam,1914,81171497
latam,1915,82463494
latam,1916,83783982
latam,1917,85133618
latam,1918,86495001
latam,1919,87932819
latam,1920,91347772
latam,1921,91053688
latam,1922,92718776
latam,1923,94476386
latam,1924,96270973
latam,1925,98103373
latam,1926,99974455
latam,1927,101885114
latam,1928,103836242
latam,1929,105804027
latam,1930,109927060
latam,1931,109787082
latam,1932,111800984
latam,1933,113828824
latam,1934,115894548
latam,1935,117998886
latam,1936,120142582
latam,1937,122326389
latam,1938,124551085
latam,1939,126983930
latam,1940,132024936
latam,1941,132510101
latam,1942,135622251
latam,1943,138986913
latam,1944,142427786
latam,1945,145967473
latam,1946,149608330
latam,1947,153333508
latam,1948,157165234
latam,1949,161190504
latam,1950,167782746
mena,1900,56758512
mena,1901,57348221
mena,1902,57965128
mena,1903,58608729
mena,1904,59260607
mena,1905,59920878
mena,1906,60590103
mena,1907,61267971
mena,1908,61954607
mena,1909,62508581
mena,1910,62930009
mena,1911,63219644
mena,1912,63378173
mena,1913,63403265
mena,1914,63434503
mena,1915,63471853
mena,1916,63515266
mena,1917,63568364
mena,1918,63646713
mena,1919,63891591
mena,1920,64306141
mena,1921,64882449
mena,1922,65628104
mena,1923,66543132
mena,1924,67476901
mena,1925,68429079
mena,1926,69400148
mena,1927,70390609
mena,1928,71400980
mena,1929,72439192
mena,1930,73508446
mena,1931,74599805
mena,1932,75727140
mena,1933,76886890
mena,1934,78073647
mena,1935,79277354
mena,1936,80495285
mena,1937,81722981
mena,1938,82973697
mena,1939,84279107
mena,1940,85647859
mena,1941,87054426
mena,1942,88527609
mena,1943,90064475
mena,1944,91636292
mena,1945,93242772
mena,1946,94879035
mena,1947,96545074
mena,1948,98240926
mena,1949,100135385
mena,1950,100532567
oecd-ex-us,1900,371788904
oecd-ex-us,1901,375118227
oecd-ex-us,1902,378550289
oecd-ex-us,1903,382109460
oecd-ex-us,1904,385710345
oecd-ex-us,1905,389353524
oecd-ex-us,1906,393038593
oecd-ex-us,1907,396769144
oecd-ex-us,1908,400542796
oecd-ex-us,1909,403807266
oecd-ex-us,1910,406599316
oecd-ex-us,1911,408811678
oecd-ex-us,1912,410502382
oecd-ex-us,1913,411698433
oecd-ex-us,1914,412924140
oecd-ex-us,1915,414122635
oecd-ex-us,1916,415286064
oecd-ex-us,1917,416451584
oecd-ex-us,1918,417628012
oecd-ex-us,1919,419335247
oecd-ex-us,1920,421714287
oecd-ex-us,1921,424491425
oecd-ex-us,1922,427855220
oecd-ex-us,1923,431713541
oecd-ex-us,1924,435614480
oecd-ex-us,1925,439575682
oecd-ex-us,1926,443566806
oecd-ex-us,1927,447587531
oecd-ex-us,1928,451658530
oecd-ex-us,1929,455632583
oecd-ex-us,1930,459558733
oecd-ex-us,1931,463324907
oecd-ex-us,1932,466974581
oecd-ex-us,1933,470541109
oecd-ex-us,1934,474138488
oecd-ex-us,1935,477765166
oecd-ex-us,1936,481422591
oecd-ex-us,1937,485114220
oecd-ex-us,1938,488816522
oecd-ex-us,1939,492614214
oecd-ex-us,1940,496054360
oecd-ex-us,1941,499167947
oecd-ex-us,1942,502125187
oecd-ex-us,1943,504978211
oecd-ex-us,1944,507984008
oecd-ex-us,1945,510560288
oecd-ex-us,1946,512443798
oecd-ex-us,1947,514801301
oecd-ex-us,1948,518042959
oecd-ex-us,1949,521680364
oecd-ex-us,1950,529608572
russia,1900,110723453
russia,1901,111738617
russia,1902,112763082
russia,1903,113796942
russia,1904,114840279
russia,1905,115893182
russia,1906,116955736
russia,1907,118028033
russia,1908,119110158
russia,1909,120202205
russia,1910,121304263
russia,1911,122388186
russia,1912,123510287
russia,1913,124642673
russia,1914,125785442
russia,1915,126938685
russia,1916,128102503
russia,1917,129276985
russia,1918,130467703
