region,year,births,population,deaths,life_expectancy,tfr
china,2025,6694121.0,1446797732.0,11970443.0,78.454,0.7662
china,2026,6648590.0,1441249894.0,11740801.0,79.093,0.776
china,2027,6588317.0,1435898768.0,11960081.0,79.301,0.7831
china,2028,6549127.0,1430309888.0,12198793.0,79.497,0.7913
china,2029,5280491.0,1424397718.0,12439342.0,79.691,0.6475
china,2030,5290513.0,1417016054.0,12687105.0,79.887,0.6568
china,2031,5294218.0,1409410231.0,12943757.0,80.083,0.664
china,2032,5319689.0,1401526209.0,13214146.0,80.276,0.6726
china,2033,5335973.0,1393404381.0,13500932.0,80.467,0.6783
china,2034,4588691.0,1385010788.0,13778262.0,80.666,0.5853
china,2035,4643633.0,1375617345.0,14068499.0,80.855,0.5934
china,2036,4691324.0,1365961652.0,14357180.0,81.045,0.5999
china,2037,4760312.0,1356076510.0,14645698.0,81.23,0.6088
china,2038,4823412.0,1345992324.0,14928158.0,81.417,0.6169
china,2039,4866114.0,1335694994.0,15219325.0,81.593,0.6225
china,2040,4905155.0,1325160217.0,15502619.0,81.768,0.6281
china,2041,4923463.0,1314359860.0,15776306.0,81.942,0.6319
china,2042,4941057.0,1303293824.0,16041401.0,82.119,0.637
china,2043,4962072.0,1291980179.0,16301965.0,82.29,0.6441
china,2044,4942482.0,1280468424.0,16561472.0,82.459,0.6496
china,2045,4899957.0,1268702735.0,16814198.0,82.625,0.6559
china,2046,4815880.0,1256602854.0,17054972.0,82.793,0.6607
china,2047,4697776.0,1244151158.0,17281705.0,82.96,0.6653
china,2048,4543256.0,1231364057.0,17505647.0,83.121,0.6692
china,2049,4375314.0,1218220066.0,17718804.0,83.279,0.6753
china,2050,4183031.0,1204672132.0,17922387.0,83.434,0.6816
china,2051,3958896.0,1190766966.0,18122723.0,83.584,0.6855
china,2052,3728248.0,1176413511.0,18315044.0,83.733,0.6901
china,2053,3498978.0,1161618582.0,18488452.0,83.883,0.6959
china,2054,3256099.0,1146458335.0,18650805.0,84.034,0.6982
china,2055,3042729.0,1130907758.0,18803282.0,84.183,0.7048
china,2056,2831676.0,1114979615.0,18923350.0,84.342,0.7088
china,2057,2641317.0,1098713267.0,19028992.0,84.493,0.7136
china,2058,2465871.0,1082175693.0,19112121.0,84.641,0.7172
china,2059,2316720.0,1065360655.0,19174424.0,84.783,0.7223
china,2060,2184543.0,1048341727.0,19196543.0,84.928,0.7262
china,2061,2072149.0,1031164170.0,19178026.0,85.078,0.7296
china,2062,1982673.0,1013910806.0,19131279.0,85.224,0.7342
china,2063,1913732.0,996620886.0,19055047.0,85.365,0.7402
china,2064,1856119.0,979352909.0,18981361.0,85.492,0.7446
china,2065,1810658.0,962068845.0,18876880.0,85.625,0.7486
china,2066,1776881.0,944876453.0,18754131.0,85.763,0.7525
china,2067,1754296.0,927763338.0,18632181.0,85.895,0.7572
china,2068,1738412.0,910733775.0,18508607.0,86.028,0.7618
china,2069,1721611.0,893836614.0,18385102.0,86.161,0.7635
china,2070,1710230.0,877048367.0,18266115.0,86.294,0.7658
china,2071,1704115.0,860378130.0,18171081.0,86.423,0.7694
china,2072,1696316.0,843796155.0,18086406.0,86.551,0.7722
china,2073,1690090.0,827270847.0,18028649.0,86.67,0.7764
china,2074,1675246.0,810798146.0,17962930.0,86.798,0.7778
china,2075,1661399.0,794398318.0,17907857.0,86.926,0.7812
china,2076,1640862.0,778028488.0,17871122.0,87.044,0.7839
china,2077,1614288.0,761692044.0,17817243.0,87.166,0.7862
china,2078,1584659.0,745381652.0,17769174.0,87.283,0.7898
china,2079,1543735.0,729104708.0,17700565.0,87.398,0.7907
china,2080,1500880.0,712839628.0,17606647.0,87.512,0.7936
china,2081,1450996.0,696625162.0,17481870.0,87.63,0.7955
china,2082,1400736.0,680496951.0,17314526.0,87.753,0.7996
china,2083,1346037.0,664509054.0,17137462.0,87.866,0.8032
china,2084,1284820.0,648638466.0,16923406.0,87.983,0.8042
china,2085,1226503.0,632885496.0,16671600.0,88.106,0.8082
china,2086,1164534.0,617339880.0,16393823.0,88.233,0.8097
china,2087,1106058.0,602024911.0,16117283.0,88.35,0.8129
china,2088,1046705.0,586917803.0,15838835.0,88.465,0.8142
china,2089,992819.0,572029970.0,15565827.0,88.575,0.8174
china,2090,944114.0,557361591.0,15294172.0,88.687,0.8221
china,2091,896870.0,542928265.0,15035679.0,88.806,0.8246
china,2092,852570.0,528706707.0,14812205.0,88.921,0.8255
china,2093,814167.0,514663748.0,14610319.0,89.036,0.8277
china,2094,779482.0,500779304.0,14424364.0,89.152,0.8287
china,2095,749785.0,487044672.0,14270620.0,89.262,0.8303
china,2096,725712.0,473444343.0,14118289.0,89.38,0.8334
china,2097,706577.0,459958813.0,13994637.0,89.489,0.8379
china,2098,688957.0,446577725.0,13877518.0,89.599,0.8403
china,2099,675619.0,433309320.0,13758134.0,89.712,0.8442
china,2100,661940.0,420145139.0,13632839.0,89.827,0.8447
india,2025,31752397.0,1978674515.0,12777910.0,72.055,1.9529
india,2026,31638422.0,1995044152.0,12987355.0,72.271,1.9349
india,2027,31513882.0,2011360525.0,13197643.0,72.498,1.918
india,2028,31393060.0,2027663676.0,13434080.0,72.701,1.9027
india,2029,28811790.0,2043879872.0,13611199.0,72.914,1.7398
india,2030,28722055.0,2057470609.0,13837939.0,73.12,1.7289
india,2031,28588620.0,2070860378.0,14083734.0,73.315,1.7164
india,2032,28428913.0,2083909463.0,14328608.0,73.515,1.7034
india,2033,28286858.0,2096558701.0,14582240.0,73.71,1.6927
india,2034,26470875.0,2108857629.0,14808169.0,73.91,1.5832
india,2035,26317283.0,2119008966.0,15070531.0,74.096,1.5745
india,2036,26134646.0,2128748310.0,15337235.0,74.286,1.5649
india,2037,25940560.0,2138105870.0,15624138.0,74.457,1.5553
india,2038,25717765.0,2146943115.0,15897158.0,74.642,1.5446
india,2039,25507245.0,2155300500.0,16169765.0,74.828,1.5351
india,2040,25347944.0,2163239232.0,16441496.0,75.016,1.5292
india,2041,25127996.0,2170721508.0,16733533.0,75.185,1.5204
india,2042,24903452.0,2177724990.0,17020472.0,75.359,1.512
india,2043,24680822.0,2184149057.0,17307470.0,75.532,1.505
india,2044,24454482.0,2190125576.0,17590797.0,75.709,1.4992
india,2045,24190686.0,2195589332.0,17883242.0,75.876,1.4931
india,2046,23916607.0,2200557527.0,18166442.0,76.047,1.4881
india,2047,23588234.0,2205027777.0,18461961.0,76.208,1.481
india,2048,23267728.0,2208777820.0,18756018.0,76.37,1.4759
india,2049,22920666.0,2211908736.0,19048415.0,76.534,1.4706
india,2050,22561066.0,2214511160.0,19347019.0,76.693,1.4658
india,2051,22183687.0,2216358169.0,19640784.0,76.855,1.4612
india,2052,21769279.0,2217464225.0,19940959.0,77.015,1.4552
india,2053,21381222.0,2217983419.0,20246490.0,77.171,1.4516
india,2054,20950296.0,2217826220.0,20561407.0,77.32,1.4457
india,2055,20547316.0,2216905860.0,20861652.0,77.478,1.4421
india,2056,20153882.0,2215337501.0,21167362.0,77.635,1.4393
india,2057,19743573.0,2213086275.0,21468580.0,77.795,1.4348
india,2058,19330464.0,2210129098.0,21776404.0,77.952,1.4292
india,2059,18943479.0,2206404368.0,22090280.0,78.105,1.4246
india,2060,18574012.0,2201871740.0,22408119.0,78.255,1.4202
india,2061,18207042.0,2196726433.0,22717716.0,78.408,1.4146
india,2062,17896749.0,2190830998.0,23034576.0,78.559,1.4121
india,2063,17587689.0,2184455233.0,23345141.0,78.712,1.4081
india,2064,17308445.0,2177413901.0,23658402.0,78.863,1.4053
india,2065,17034216.0,2169838001.0,23985500.0,79.006,1.4015
india,2066,16778985.0,2161658018.0,24288438.0,79.158,1.3981
india,2067,16525144.0,2152873019.0,24611094.0,79.3,1.3934
india,2068,16288259.0,2143504130.0,24922784.0,79.445,1.3892
india,2069,16049083.0,2133697965.0,25222219.0,79.592,1.3837
