region,year,net_over_gross,net_const,gross_age
us,1950,0.3660946995582737,13460182730499.654,36766942396982.48
oecd-ex-us,1950,0.27806065411647474,17921268720241.402,64450933474156.68
china,1950,0.26200079142511173,6195093643515.693,23645324160352.586
india,1950,0.2822674034011737,1806168656186.7778,6398785812401.275
latam,1950,0.30042498751533897,1461969092564.6882,4866336534307.232
seasia,1950,0.2929139398626379,1203608471057.4631,4109085663939.0254
russia,1950,0.30463001636016934,2901106349942.395,9523376535923.389
mena,1950,0.27175672188497735,1054775823086.3174,3881323765499.194
ssa,1950,0.28980021030020964,335151650265.7349,1156492087837.1511
us,1955,0.36489309556963206,14442231522506.105,39579349946209.42
oecd-ex-us,1955,0.2884159628965557,20182693294407.574,69977726238565.97
china,1955,0.27960652280089937,7258232426066.11,25958737848310.184
india,1955,0.2792548758815017,1989495378563.5466,7124299521300.979
latam,1955,0.3035815569227218,1698769053888.2876,5595758421914.668
seasia,1955,0.29608946264292724,1398171306526.549,4722124502663.208
russia,1955,0.34117525486880595,3937362060532.8027,11540585093273.717
mena,1955,0.2781862316370814,1224241412024.787,4400798000750.514
ssa,1955,0.29010831200910564,374644084997.09863,1291393832884.5254
us,1960,0.35948058781367526,15115038694823.184,42046884330392.71
oecd-ex-us,1960,0.2900830801910614,21877335150022.863,75417480866562.42
china,1960,0.2942123049942206,8464682025373.366,28770659424117.71
india,1960,0.27515261922379564,2170652820982.821,7888904808924.674
latam,1960,0.30420653475880033,1948457451927.7585,6405047983182.393
seasia,1960,0.29637384906364533,1615610566120.9746,5451258844953.043
russia,1960,0.345211156917382,4473760085864.587,12959488696175.812
mena,1960,0.28254948291709053,1406838019585.6414,4979085451019.759
ssa,1960,0.2895953404607933,416480250547.02313,1438145551252.0862
us,1965,0.35667665496024753,16296973602515.746,45691169791676.12
oecd-ex-us,1965,0.30005170936095654,24255713919731.72,80838446051152.3
china,1965,0.30789760758214574,9924825344037.008,32234174932291.758
india,1965,0.27810226854201703,2460324708996.2036,8846834374615.99
latam,1965,0.30804404128962787,2261322608396.3496,7340906835689.182
seasia,1965,0.30694664471005134,1948543375721.537,6348150107854.004
russia,1965,0.3627735685904649,5561502227147.917,15330505606449.783
mena,1965,0.2860136217254898,1603705108674.147,5607093462888.812
ssa,1965,0.2926139580263502,473936350182.4641,1619664192983.5269
us,1970,0.36570428662976767,18409010815535.953,50338515266497.0
oecd-ex-us,1970,0.3095497918704335,26782323153714.613,86520242807737.81
china,1970,0.31193153834918463,11241432756654.588,36038140984867.72
india,1970,0.27920138905563024,2721115187359.802,9746066079985.104
latam,1970,0.31607797659457304,2676587230774.63,8468123149901.821
seasia,1970,0.31267952256115183,2266038931214.496,7247161287229.224
russia,1970,0.35580031024579645,5763780568629.38,16199481570568.629
mena,1970,0.28892773437711744,1826409141787.3833,6321335491467.556
ssa,1970,0.2972554798424732,546021427651.6183,1836875901971.5144
us,1975,0.39498341291855,22713839218721.613,57505805246068.555
oecd-ex-us,1975,0.33343828256644736,31937343950106.703,95781875147291.31
china,1975,0.32550162032009977,13715546885267.525,42136647036594.15
india,1975,0.2928245591535378,3233672456391.928,11043037051739.928
latam,1975,0.3261386369845889,3227168993754.961,9895083341221.713
seasia,1975,0.3172930959088949,2630571926619.6123,8290668661050.647
russia,1975,0.3474050446456354,6200547233133.681,17848178455377.477
mena,1975,0.30179256850449043,2226723997915.354,7378326142852.726
ssa,1975,0.3025427432667095,633624019093.5566,2094328927714.453
us,1980,0.4207223731423277,27619289389625.652,65647303668070.5
oecd-ex-us,1980,0.35006753195414814,36707958952045.31,104859650214157.33
china,1980,0.3508170399202382,18104692921841.605,51607222174720.734
india,1980,0.3183277969767577,4183819455853.141,13143116924088.84
latam,1980,0.3500534970165465,4122124456994.0723,11775698549296.955
seasia,1980,0.3337823348542916,3265894640660.8823,9784504150246.797
russia,1980,0.37652527123494517,7526141380913.526,19988409692207.21
mena,1980,0.3258420798563924,2944602141308.769,9036899539207.879
ssa,1980,0.31008387979721824,745463022225.2103,2404068933582.4604
us,1985,0.4385902851372487,32066693553923.18,73113095844994.61
oecd-ex-us,1985,0.3510368300921673,40460573044799.74,115260193735730.03
china,1985,0.3657877033285372,22347500289449.87,61094181368306.305
india,1985,0.3376611475992868,5302745416297.521,15704339850762.035
latam,1985,0.3646531673007128,5179134263064.439,14202904917574.578
seasia,1985,0.3488019161564924,4101060087299.8735,11757561806110.904
russia,1985,0.3856440365607409,8919231812155.305,23128146597828.906
mena,1985,0.3548141433544467,4067164884243.3735,11462803725330.703
ssa,1985,0.323059220401036,915277408709.0352,2833156743128.5117
us,1990,0.4449427227352378,35824352643211.13,80514526505759.56
oecd-ex-us,1990,0.36465326611089716,46109751005426.69,126448205159922.89
china,1990,0.37830422185974855,27674305012409.566,73153571684614.88
india,1990,0.3486717050058858,6516551662785.363,18689648655818.973
latam,1990,0.37497845173654776,6381847912825.422,17019239060993.238
seasia,1990,0.3571465108862688,4982617642086.235,13951186670483.59
russia,1990,0.4055033036538201,10484393042257.943,25855259248907.414
mena,1990,0.3723279640965303,5275083540423.307,14167841390112.941
ssa,1990,0.33906435035833615,1150836659215.2993,3394154112630.9834
us,1995,0.4268262315434206,36868623459349.31,86378532373774.0
oecd-ex-us,1995,0.36784509800403314,50652185831901.47,137699771199196.75
china,1995,0.391159464194294,35044040346911.67,89590163487658.42
india,1995,0.3577362679131394,7933380480456.523,22176617782524.633
latam,1995,0.3811678871817938,7698531221366.65,20197218811601.832
seasia,1995,0.3597832227377553,6086144550767.658,16916143294441.016
russia,1995,0.3989465018524434,10637186524326.5,26663190364959.832
mena,1995,0.38216579301263975,6589010128252.766,17241234691130.088
ssa,1995,0.35333965361186365,1430484531716.6577,4048468710189.0225
us,2000,0.40663011821558454,37638836133721.85,92562834004752.05
oecd-ex-us,2000,0.37040329396161903,54902195501905.04,148222751786850.94
china,2000,0.39072872308074985,41834256288700.71,107067266411471.48
india,2000,0.3666872776841157,9697111467723.44,26445181106275.13
latam,2000,0.3798708452780205,8994623295810.459,23678109040527.863
seasia,2000,0.3521424427647703,6996395508920.549,19868083648167.66
russia,2000,0.3951174786019284,11187049126793.748,28313222605027.902
mena,2000,0.3848276483265803,8070281780368.777,20971158947290.633
ssa,2000,0.36114238932015863,1704468773078.811,4719658570923.868
us,2005,0.3859104311185895,38155857392824.805,98872314184996.95
oecd-ex-us,2005,0.36717239246535105,58140141355296.18,158345623332186.38
china,2005,0.37599127577845914,45108379235244.51,119971877384259.25
india,2005,0.3672032309644679,11371731206458.041,30968494412725.953
latam,2005,0.37903498074353853,10466693576757.453,27614057035647.047
seasia,2005,0.3621709974893972,8531502998220.886,23556560457248.242
russia,2005,0.3970716191456814,11462473526450.086,28867521559743.17
mena,2005,0.39258459312042665,10135071249861.684,25816273555984.188
ssa,2005,0.36386701664494814,2029492220031.423,5577565778685.976
us,2010,0.37962530391064975,40228012989014.086,105967680696232.84
oecd-ex-us,2010,0.3618872018201857,60423873939442.83,166968805847591.75
china,2010,0.3674668744734251,49585491324253.516,134938670037425.38
india,2010,0.3712272553575273,13422870498418.695,36158095357225.83
latam,2010,0.37854062210528794,12065949827116.47,31874914137380.02
seasia,2010,0.3702476978015569,10437133112350.389,28189596246846.67
russia,2010,0.3885521294392725,12069836536174.12,31063622154361.492
mena,2010,0.39873241484047084,12853190012826.447,32235126953420.355
ssa,2010,0.3681625770349146,2448622402756.4346,6650926942322.604
us,2015,0.3830421484629736,42701152924294.24,111478992835750.33
oecd-ex-us,2015,0.35415747116971846,59806622934623.08,168870143377443.25
china,2015,0.3707116173332127,55954171968255.164,150937195793249.12
india,2015,0.38064425104949606,16075389218952.791,42232055717721.766
latam,2015,0.37839600451063105,13652504012893.93,36079937024045.305
seasia,2015,0.36248986709295394,11657877830627.389,32160561960309.742
russia,2015,0.3888207254143936,12765510319487.615,32831352561987.31
mena,2015,0.41078086778231443,16557041848994.271,40306263381692.75
ssa,2015,0.3829406299505999,3164488139162.9165,8263652095551.057
us,2020,0.38801136973021805,44878231935320.49,115662156927319.05
oecd-ex-us,2020,0.3444614704124525,58555814623047.12,169992349370550.3
china,2020,0.37463484907290057,59556844702841.95,158973050292106.53
india,2020,0.37929843598078544,18141328494051.582,47828640387461.516
latam,2020,0.36876510486027364,14490281892894.494,39294070132760.83
seasia,2020,0.3568794582880662,12684199820093.1,35541972297701.31
russia,2020,0.39184885887578763,13146289973928.38,33549389455018.5
mena,2020,0.3976806434282797,18175690516746.457,45704237349999.11
ssa,2020,0.3770264927758551,3677088245411.511,9752864363294.4
us,2025,0.3910152563049344,45530895941290.63,116442760754540.06
oecd-ex-us,2025,0.3371764223810215,57130851767824.66,169439047263111.22
china,2025,0.361645893871653,58868494074099.76,162779379143157.1
india,2025,0.37672951275152616,20236761487713.848,53716952887259.2
latam,2025,0.3632216813444179,15344211844746.691,42244757493418.57
seasia,2025,0.355612425292666,13659101349767.857,38410079002516.664
russia,2025,0.3847282204998393,12452975065684.318,32368239193645.324
mena,2025,0.387656535305178,20021433218000.87,51647351184829.72
ssa,2025,0.37549182197628045,4332155742963.266,11537283875218.26
