year,pop,pop2564,entrants,gross_const,net_const,gross_cur,inv_cur,gdp,dep_cur,inv_gdp,stock_gdp,entrant_share,tert_stock
1925,1975105218.1333666,816257588.9251252,36794743.772199936,112593367553456.52,0.0,13360691914376.7,575677249073.2566,4819236189771.101,366046353818.53973,0.11945404342188913,2.7723671113557296,0.01862925753746625,0.006088790388111394
1930,2067844684.9272728,864003128.2638596,38434375.08484429,121913508498188.11,0.0,14866259458406.42,636661971807.1222,5245010725176.859,407294779682.3677,0.12138430313422366,2.8343620704236283,0.01858668369292738,0.007473253914359645
1935,2175179283.142424,920550304.5047673,39416883.878905386,131639254445096.38,0.0,15713632172057.6,651919154156.1173,5392992863651.9795,430510470467.3315,0.12088262874404333,2.913712769391054,0.01812121151777469,0.009112457352594108
1940,2287998383.9434342,978962792.9349618,41000511.17604274,141717578864671.78,0.0,19680789300900.113,787695576303.6342,6451245530114.569,539199706873.9757,0.12209976703361425,3.050696056913307,0.017919816492779652,0.010671759518931302
1945,2380671062.6484847,995324090.0812744,42038129.7552295,144749717692497.28,0.0,21265534540819.832,829410396353.9432,6818296798183.634,582617384679.9954,0.12164480674629692,3.118892469815172,0.017658100866930475,0.01187839925265482
1950,2493092704.0,1042158531.0,44013294.8,155006475508053.88,46339325137360.125,24266395692471.562,976901356201.3911,7897662563683.789,664832758697.8511,0.12369499814964553,3.072604773475246,0.017654094743201332,0.013542268273905984
1955,2740213652.0,1135577033.0,46254679.8,170590957634940.8,52505840539512.86,31940354011746.97,1197042200888.4392,10268206898425.09,875078192102.6567,0.11657753030590359,3.1106067814669665,0.016879953782523525,0.0158318347834157
1960,3015470555.0,1233927509.0,49427674.4,185690836060838.34,57488855065248.22,38927241152144.266,1473236138203.9546,12538900136612.06,1066499757592.9935,0.1174932507758224,3.104517998231876,0.01639136363578254,0.017396396135340064
1965,3334515114.0,1338892878.0,50385161.199999996,204124629893530.66,64786847245403.09,51293277018392.055,1925984780642.6748,16263558738032.244,1405295260777.8647,0.1184233298299449,3.1538778101771174,0.015110191280422547,0.020988168261592402
1970,3694588087.0,1437189756.0,60215441.6,222812429498719.6,72232719213322.47,67218885949104.7,2918702514901.8794,21035788069788.895,1841613313674.1013,0.13874937821291572,3.195453658598267,0.016298282834797655,0.025733941181197015
1975,4070623916.0,1574701614.0,72390795.60000001,251941713395932.75,86519038681004.94,89684027434724.39,3948921531655.2153,26675107465882.453,2457096642047.2437,0.1480376990685379,3.36208682755751,0.017783710088141686,0.034855621777578664
1980,4447476143.0,1764578988.0,79122270.80000001,288259357975950.0,105219986361468.17,115144783807177.77,5039273917950.284,32203950531892.105,3154651611155.5557,0.1564799918867037,3.5754862961035783,0.017790375542437172,0.043921512890462214
1985,4868696308.0,1988007052.0,89391923.0,328538185378438.7,123359380759942.34,141738332713505.44,5831697492132.442,37057750580927.055,3883241992150.834,0.15736782186487894,3.8247959061620853,0.01836054609795966,0.053057465756048756
1990,5327517642.0,2238414598.0,97793356.4,373519659340107.44,144399739120640.97,176996381874568.03,6700424203486.168,43585127496650.805,4849215941768.987,0.15373189407329474,4.060935278626153,0.01835627077591196,0.06373168147685221
1995,5758577416.0,2505531253.0,102431577.8,421273344051608.9,162939587075049.22,210726180664269.12,7424148586718.715,50108565041746.984,5773320018199.153,0.1481612690471864,4.205392441166628,0.017787653165067738,0.07046511986588296
2000,6171345107.0,2778337131.0,103869122.80000001,472036223871965.6,181025217877023.38,269578629915908.06,8736733475231.347,60651717729288.63,7385715888107.07,0.14404758516859598,4.444699012798592,0.01683087252440054,0.08593641436762303
2005,6586536897.0,3038956575.0,114208548.2,520287255379091.3,195401342761145.06,344762482772906.9,11250373431342.406,74923868733853.12,9445547473230.324,0.15015740139242315,4.601504014662974,0.017339696108287055,0.09990076983471095
2010,7021323553.0,3342058380.0,123669390.2,574911343165935.2,213534980642353.0,434349723537706.2,14360294517116.943,91630741663313.69,11899992425690.582,0.15671917804487653,4.740218355251045,0.017613401414489693,0.11696679081312737
2015,7469898166.0,3646513452.0,121803488.0,616582510258707.2,232334759197291.4,527585419733807.7,16187956150954.22,109751196544555.7,14454395061200.21,0.1474968534341436,4.807104034803154,0.01630591010656624,0.11865002344850298
2020,7886117373.0,3882251400.0,121181321.0,650595218557591.0,243305770204335.1,597630635658288.5,17002175049022.691,121901574868129.48,16373442072829.822,0.13947461357587285,4.902566979178017,0.015366411031985537,0.12546094674545055
2025,8090652401.0,4083267980.0,124810027.4,672895479861820.8,247576880492091.9,672895479861820.8,19110696259176.293,134710498100645.6,18435492598953.992,0.1418649365018175,4.995122795545479,0.015426447857848096,0.13305614431023224
