year,region,gross_index,net_index
2025,us,1.000000,1.000000
2025,oecd-ex-us,1.000000,1.000000
2025,china,1.000000,1.000000
2025,india,1.000000,1.000000
2025,latam,1.000000,1.000000
2025,seasia,1.000000,1.000000
2025,russia,1.000000,1.000000
2025,mena,1.000000,1.000000
2025,ssa,1.000000,1.000000
2025,world,1.000000,1.000000
2026,us,1.012181,1.019499
2026,oecd-ex-us,1.006731,1.007513
2026,china,0.992710,0.983665
2026,india,1.010931,1.025910
2026,latam,1.001603,1.004250
2026,seasia,1.001078,1.003140
2026,russia,0.997109,0.993707
2026,mena,1.020021,1.043408
2026,ssa,1.034459,1.071208
2026,world,1.004820,1.007234
2027,us,1.024375,1.038462
2027,oecd-ex-us,1.013790,1.015485
2027,china,0.985551,0.968101
2027,india,1.022520,1.052655
2027,latam,1.003402,1.008855
2027,seasia,1.002784,1.007582
2027,russia,0.994375,0.987951
2027,mena,1.040784,1.087344
2027,ssa,1.070504,1.143536
2027,world,1.009945,1.014917
2028,us,1.036586,1.056890
2028,oecd-ex-us,1.021165,1.023874
2028,china,0.978495,0.953237
2028,india,1.034693,1.080080
2028,latam,1.005366,1.013760
2028,seasia,1.005055,1.013175
2028,russia,0.991777,0.982679
2028,mena,1.062218,1.131634
2028,ssa,1.108253,1.217229
2028,world,1.015354,1.022996
2029,us,1.048809,1.074783
2029,oecd-ex-us,1.028833,1.032620
2029,china,0.971519,0.939009
2029,india,1.047363,1.107972
2029,latam,1.007465,1.018920
2029,seasia,1.007829,1.019787
2029,russia,0.989297,0.977843
2029,mena,1.084241,1.176071
2029,ssa,1.147779,1.292420
2029,world,1.021020,1.031409
2030,us,1.061040,1.092151
2030,oecd-ex-us,1.036773,1.041665
2030,china,0.964599,0.925363
2030,india,1.060433,1.136111
2030,latam,1.009673,1.024262
2030,seasia,1.011039,1.027240
2030,russia,0.986916,0.973397
2030,mena,1.106774,1.220438
2030,ssa,1.189093,1.369106
2030,world,1.026913,1.040087
2031,us,1.073273,1.108990
2031,oecd-ex-us,1.044965,1.050971
2031,china,0.957715,0.912241
2031,india,1.073807,1.164269
2031,latam,1.011963,1.029728
2031,seasia,1.014626,1.035383
2031,russia,0.984618,0.969297
2031,mena,1.129736,1.264536
2031,ssa,1.232143,1.447145
2031,world,1.033004,1.048963
2032,us,1.085504,1.125289
2032,oecd-ex-us,1.053389,1.060476
2032,china,0.950849,0.899593
2032,india,1.087394,1.192216
2032,latam,1.014313,1.035261
2032,seasia,1.018531,1.044073
2032,russia,0.982388,0.965505
2032,mena,1.153052,1.308171
2032,ssa,1.276825,1.526295
2032,world,1.039265,1.057964
2033,us,1.097728,1.141050
2033,oecd-ex-us,1.062028,1.070140
2033,china,0.943984,0.887376
2033,india,1.101107,1.219747
2033,latam,1.016703,1.040811
2033,seasia,1.022700,1.053178
2033,russia,0.980212,0.961982
2033,mena,1.176650,1.351167
2033,ssa,1.322992,1.606198
2033,world,1.045667,1.067024
